# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.064633               0               0
0.129266               0               0
0.193899               0               0
0.258532               0               0
0.323165               0               0
0.387798               0               0
0.452431               0               0
0.517064               0               0
0.581697               0               0
0.64633               0               0
0.710963               0               0
0.775596               0               0
0.84023     0.000833521     0.000342623
0.904863        0.126965       0.0066503
0.969496        0.853844        0.024962
1.03413         1.59637       0.0373524
1.09876         1.76974       0.0451504
1.16339         1.63669       0.0383113
1.22803         1.45479       0.0349778
1.29266         1.28939       0.0280038
1.35729         1.16118       0.0261385
1.42193         1.09818       0.0255077
1.48656         1.05454       0.0230926
1.55119         1.00157       0.0220081
1.61583         1.00274       0.0200666
1.68046         0.95379       0.0188148
1.74509        0.948085       0.0184024
1.80973        0.930756       0.0168616
1.87436        0.942742       0.0174116
1.93899        0.961482       0.0155617
2.00362        0.974206       0.0172109
2.06826        0.962875       0.0160833
2.13289        0.935716       0.0159217
2.19752        0.937663       0.0163289
2.26216        0.928991       0.0138743
2.32679         0.93758       0.0131355
2.39142        0.933259       0.0121046
2.45606        0.946607       0.0107364
2.52069        0.950831       0.0126593
2.58532        0.960125       0.0117307
2.64995        0.959672       0.0110544
2.71459        0.962893       0.0102886
2.77922        0.972659       0.0129709
2.84385        0.959799       0.0130739
2.90849        0.960396       0.0169917
2.97312        0.968947       0.0241325
3.03775        0.985359       0.0363652
3.10239        0.963128       0.0165416
3.16702        0.951573       0.0124761
3.23165        0.940621       0.0107832
3.29629        0.943894      0.00946411
3.36092         0.95208      0.00862373
3.42555        0.958183      0.00876217
3.49018         0.94985      0.00916249
3.55482        0.945673      0.00947223
3.61945        0.942501      0.00898879
3.68408        0.952413      0.00918701
3.74872        0.956742       0.0091795
3.81335        0.966929      0.00904298
3.87798        0.956149      0.00885883
3.94262        0.953958      0.00927875
4.00725        0.954466      0.00870374
4.07188        0.951164      0.00872151
4.13651        0.951061      0.00699359
4.20115        0.957568      0.00531768
4.26578        0.957575      0.00693329
4.33041        0.954953      0.00595015
4.39505        0.958653      0.00647822
4.45968        0.959888      0.00754684
4.52431        0.951623      0.00714358
4.58895        0.949355      0.00683032
4.65358        0.950531      0.00648025
4.71821         0.96439      0.00729299
4.78285        0.969059      0.00768619
4.84748        0.959825      0.00692405
4.91211         0.96874      0.00605853
4.97674        0.975102      0.00562418
5.04138        0.977528      0.00614512
5.10601        0.978438      0.00748688
5.17064        0.982049       0.0108507
5.23528         1.00056       0.0235808
5.29991        0.995998       0.0125925
5.36454        0.979974      0.00756758
5.42918        0.974406      0.00589573
5.49381        0.976883      0.00509598
5.55844        0.979058      0.00543851
5.62307        0.966159      0.00532143
5.68771        0.963498      0.00522539
5.75234        0.965968      0.00573148
5.81697        0.962531      0.00525055
5.88161        0.962693       0.0047098
5.94624        0.963942      0.00485083
6.01087        0.972064      0.00477337
6.07551        0.981365      0.00677044
6.14014        0.970773       0.0048252
6.20477        0.970736      0.00543229
6.2694        0.966101      0.00563637
6.33404        0.967281       0.0058059
6.39867        0.965454      0.00568678
