#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.87828     1.87828           0
           2      1.8956     1.88694  0.00612328
           3     1.86956     1.88114  0.00624766
           4       1.837     1.87011    0.010645
           5     1.79064     1.85421   0.0165712
           6     1.82335     1.84907   0.0145857
           7     1.82888     1.84619   0.0127841
           8     1.85363     1.84712   0.0112199
           9     1.87633     1.85036   0.0104323
          10     1.85729     1.85106  0.00941208
          11     1.84159     1.85019  0.00859572
          12      1.8643     1.85137  0.00795942
          13     1.84495     1.85088  0.00736247
          14     1.85779     1.85137  0.00685311
          15     1.84841     1.85117  0.00639908
          16     1.81442     1.84888  0.00639825
          17     1.86884     1.85005  0.00612867
          18     1.85716     1.85044  0.00580091
          19     1.90844      1.8535  0.00624718
          20     1.88093     1.85487  0.00608355
          21     1.91661     1.85781  0.00646538
          22     1.90153      1.8598  0.00646973
          23     1.84372      1.8591  0.00622608
          24      1.8856      1.8602  0.00606379
          25     1.90236     1.86189  0.00605118
          26     1.85465     1.86161  0.00582483
          27     1.83717      1.8607  0.00567898
          28     1.85352     1.86045  0.00548195
          29      1.8446      1.8599  0.00532008
          30     1.80455     1.85806  0.00545327
          31     1.83927     1.85745  0.00531091
          32     1.84908     1.85719  0.00515137
          33     1.81609     1.85594  0.00514363
          34     1.80823     1.85454  0.00518028
          35     1.81749     1.85348  0.00513928
          36     1.80462     1.85212  0.00517267
          37     1.84664     1.85198  0.00503499
          38     1.86564     1.85234  0.00491532
          39     1.82184     1.85155  0.00485106
          40     1.79882     1.85024  0.00490568
          41     1.83877     1.84996    0.004794
          42     1.82307     1.84932   0.0047224
          43     1.82965     1.84886  0.00463466
          44     1.82055     1.84822  0.00457376
          45       1.817     1.84752  0.00452441
          46     1.78518     1.84617  0.00462459
          47     1.77857     1.84473  0.00474456
          48     1.78317     1.84345  0.00481593
          49     1.79709      1.8425  0.00480968
          50     1.84022     1.84245   0.0047137
          51     1.85043     1.84261  0.00462387
          52     1.83108     1.84239  0.00454026
          53     1.83467     1.84224  0.00445693
          54     1.83329     1.84208  0.00437748
          55     1.85474     1.84231  0.00430394
          56      1.8527     1.84249  0.00423108
          57     1.82067     1.84211  0.00417415
          58     1.89237     1.84298  0.00419116
          59     1.91814     1.84425  0.00430937
          60     1.91481     1.84543  0.00439508
          61     1.96617     1.84741  0.00474787
          62      1.9424     1.84894  0.00491228
          63     1.91912     1.85005  0.00495902
          64     1.84384     1.84995  0.00488249
          65     1.82981     1.84965  0.00481719
          66      1.8565     1.84975  0.00474533
          67     1.86249     1.84994  0.00467831
          68     1.85605     1.85003  0.00461037
          69     1.83843     1.84986  0.00454662
          70      1.8546     1.84993  0.00448217
          71     1.81818     1.84948  0.00444129
          72     1.86362     1.84968  0.00438394
          73     1.89896     1.85035  0.00437556
          74     1.85341     1.85039  0.00431663
          75     1.82393     1.85004  0.00427347
          76     1.84071     1.84992  0.00421901
          77       1.818      1.8495  0.00418453
          78     1.83712     1.84935   0.0041339
          79     1.80031     1.84872  0.00412791
          80     1.80539     1.84818   0.0041117
          81     1.83351       1.848  0.00406493
          82     1.79704     1.84738  0.00406259
          83     1.76563      1.8464  0.00413131
          84     1.81753     1.84605   0.0040964
          85     1.81531     1.84569  0.00406414
          86     1.82292     1.84543   0.0040255
          87     1.79577     1.84485  0.00401948
          88     1.79465     1.84428   0.0040141
          89     1.84614      1.8443  0.00396905
          90      1.8203     1.84404   0.0039339
          91     1.81204     1.84369  0.00390635
          92     1.78236     1.84302  0.00392035
          93     1.80529     1.84261  0.00389913
          94     1.83642     1.84255   0.0038582
          95     1.82784     1.84239   0.0038207
          96     1.81532     1.84211  0.00379129
          97     1.82319     1.84192  0.00375723
          98      1.8575     1.84208  0.00372225
          99     1.86658     1.84232  0.00369287
         100     1.83247     1.84222  0.00365726
