#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.398026   -0.398026           0
           2   -0.465444   -0.431735   0.0238357
           3   -0.477264   -0.446911   0.0201509
           4   -0.420515   -0.440312   0.0161576
           5   -0.470357   -0.446321   0.0139989
           6   -0.462924   -0.449088   0.0119361
           7   -0.452217   -0.449535   0.0102393
           8   -0.444796   -0.448943  0.00897652
           9   -0.413908    -0.44505  0.00878273
          10   -0.428465   -0.443392  0.00805953
          11   -0.468919   -0.445712  0.00765368
          12   -0.477306   -0.448345  0.00745495
          13   -0.443178   -0.447948  0.00689208
          14    -0.40939   -0.445194  0.00692825
          15   -0.402285   -0.442333  0.00703216
          16   -0.493479    -0.44553  0.00728305
          17   -0.477684   -0.447421    0.007096
          18   -0.427521   -0.446316  0.00678735
          19   -0.380423   -0.442847  0.00726229
          20   -0.357558   -0.438583  0.00805451
          21   -0.343234   -0.434043  0.00885874
          22   -0.396386   -0.432331  0.00861985
          23   -0.360304   -0.429199  0.00879556
          24    -0.36686   -0.426602  0.00880427
          25   -0.384889   -0.424933  0.00860875
          26   -0.374336   -0.422987  0.00849475
          27   -0.366052   -0.420879  0.00843781
          28   -0.415586    -0.42069  0.00813857
          29   -0.425425   -0.420853  0.00785957
          30   -0.374509   -0.419308  0.00774791
          31   -0.358295    -0.41734  0.00774393
          32   -0.421545   -0.417471  0.00750304
          33   -0.452862   -0.418544  0.00735192
          34   -0.418619   -0.418546  0.00713569
          35   -0.405369   -0.418169  0.00694174
          36   -0.423625   -0.418321  0.00675057
          37   -0.418506   -0.418326  0.00656812
          38   -0.417093   -0.418294  0.00639536
          39   -0.418461   -0.418298  0.00623137
          40   -0.445111   -0.418968  0.00611154
          41   -0.493386   -0.420783  0.00622617
          42   -0.504184   -0.422769  0.00638674
          43    -0.51596   -0.424936  0.00659568
          44   -0.448535   -0.425473  0.00646754
          45   -0.420965   -0.425372   0.0063246
          46   -0.386863   -0.424535  0.00624226
          47   -0.407212   -0.424167  0.00612032
          48   -0.428925   -0.424266  0.00599362
          49   -0.495532    -0.42572  0.00604519
          50   -0.514359   -0.427493  0.00617876
          51   -0.476927   -0.428462  0.00613316
          52   -0.462482   -0.429117  0.00605001
          53   -0.492321   -0.430309  0.00605225
          54   -0.512133   -0.431824  0.00612692
          55   -0.462893   -0.432389   0.0060415
          56   -0.430318   -0.432352  0.00593373
          57   -0.419326   -0.432124  0.00583403
          58   -0.393036    -0.43145  0.00577224
          59   -0.394957   -0.430831  0.00570745
          60   -0.353699   -0.429546  0.00575528
          61   -0.339441   -0.428069  0.00584742
          62   -0.371848   -0.427162  0.00582299
          63   -0.381752   -0.426441    0.005775
          64    -0.39581   -0.425962  0.00570456
          65    -0.39642   -0.425508  0.00563487
          66   -0.461113   -0.426047  0.00557526
          67   -0.456824   -0.426507  0.00551094
          68   -0.410681   -0.426274  0.00543481
          69    -0.41288    -0.42608  0.00535951
          70   -0.408545   -0.425829   0.0052888
          71    -0.41604   -0.425691   0.0052161
          72   -0.396544   -0.425287  0.00515934
          73   -0.415968   -0.425159  0.00509024
          74   -0.396284   -0.424769  0.00503639
          75   -0.390285   -0.424309  0.00499018
          76   -0.423066   -0.424293  0.00492455
          77   -0.360204    -0.42346  0.00493043
          78   -0.378242   -0.422881  0.00490118
          79   -0.398949   -0.422578   0.0048485
          80   -0.435057   -0.422734   0.0047904
          81   -0.447803   -0.423043  0.00474124
          82   -0.413718   -0.422929  0.00468479
          83   -0.369377   -0.422284  0.00467256
          84   -0.395861    -0.42197  0.00462752
          85   -0.429619    -0.42206  0.00457395
          86   -0.424107   -0.422083  0.00452083
          87    -0.42451   -0.422111  0.00446895
          88   -0.461789   -0.422562  0.00444085
          89    -0.42426   -0.422581    0.004391
          90   -0.402896   -0.422363  0.00434765
          91   -0.415008   -0.422282  0.00430063
          92   -0.359697   -0.421601  0.00430735
          93   -0.355968   -0.420896  0.00431846
          94    -0.43932   -0.421092  0.00427696
          95   -0.412426   -0.421001  0.00423291
          96   -0.446452   -0.421266  0.00419712
          97   -0.469591   -0.421764  0.00418331
          98   -0.452612   -0.422079  0.00415245
          99   -0.440863   -0.422268  0.00411484
         100   -0.414191   -0.422188  0.00407448
