#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0446083   0.0446083           0
           2   0.0483759   0.0464921  0.00133201
           3   0.0460162   0.0463335 0.000897406
           4   0.0503743   0.0473437   0.0011038
           5   0.0498486   0.0478447 0.000990227
           6   0.0464171   0.0476067 0.000853295
           7   0.0497427   0.0479119 0.000784059
           8    0.053421   0.0486005 0.000941071
           9   0.0469308    0.048415   0.0008546
          10   0.0518149    0.048755 0.000834035
          11   0.0509549    0.048955 0.000781825
          12   0.0538588   0.0493636 0.000816519
          13   0.0555962   0.0498431 0.000883316
          14   0.0489654   0.0497804 0.000822443
          15   0.0491248   0.0497367 0.000768774
          16   0.0486101   0.0496662 0.000723943
          17   0.0550194   0.0499811 0.000746708
          18   0.0508493   0.0500294  0.00070678
          19   0.0509489   0.0500778 0.000671236
          20   0.0561926   0.0503835  0.00070387
          21   0.0497842    0.050355 0.000670931
          22   0.0503061   0.0503528 0.000640438
          23   0.0468103   0.0501987 0.000630841
          24   0.0524976   0.0502945 0.000611785
          25   0.0494652   0.0502613 0.000588212
          26   0.0553741    0.050458 0.000597555
          27   0.0489378   0.0504017  0.00057807
          28   0.0514079   0.0504376 0.000558541
          29   0.0506784   0.0504459 0.000539342
          30   0.0508224   0.0504585  0.00052151
          31   0.0508319   0.0504705 0.000504826
          32   0.0569183    0.050672 0.000527732
          33   0.0516881   0.0507028 0.000512638
          34   0.0504066   0.0506941 0.000497634
          35   0.0517725   0.0507249 0.000484369
          36   0.0509048   0.0507299  0.00047094
          37   0.0492116   0.0506889 0.000459996
          38   0.0522116   0.0507289 0.000449633
          39   0.0535623   0.0508016 0.000443934
          40   0.0508783   0.0508035  0.00043284
          41   0.0497859   0.0507787 0.000422994
          42   0.0544383   0.0508658 0.000421802
          43   0.0528281   0.0509115 0.000414454
          44   0.0496668   0.0508832 0.000405999
          45   0.0476248   0.0508108 0.000403382
          46   0.0531047   0.0508606 0.000397683
          47   0.0511943   0.0508677 0.000389285
          48   0.0468973    0.050785 0.000389864
          49   0.0512222   0.0507939  0.00038201
          50   0.0498152   0.0507744 0.000374871
          51   0.0519196   0.0507968 0.000368193
          52   0.0566041   0.0509085 0.000377669
          53   0.0526582   0.0509415 0.000371984
          54    0.047861   0.0508845 0.000369443
          55   0.0503627    0.050875 0.000362848
          56   0.0492114   0.0508453 0.000357583
          57   0.0466321   0.0507714 0.000358867
          58   0.0527881   0.0508061 0.000354361
          59   0.0497736   0.0507886 0.000348786
          60   0.0481282   0.0507443  0.00034578
          61   0.0494389   0.0507229 0.000340773
          62   0.0507427   0.0507232 0.000335277
          63   0.0508873   0.0507258 0.000329965
          64   0.0466347   0.0506619 0.000330943
          65   0.0497584    0.050648 0.000326144
          66   0.0516533   0.0506632 0.000321558
          67   0.0520093   0.0506833 0.000317385
          68   0.0496602   0.0506683 0.000313074
          69   0.0479566    0.050629 0.000310994
          70   0.0491243   0.0506075 0.000307293
          71   0.0481976   0.0505735 0.000304833
          72   0.0514932   0.0505863 0.000300867
          73   0.0500586   0.0505791 0.000296833
          74   0.0492716   0.0505614 0.000293347
          75   0.0501421   0.0505558 0.000289489
          76   0.0504798   0.0505548 0.000285681
          77   0.0517359   0.0505701 0.000282383
          78   0.0531984   0.0506038 0.000280765
          79    0.046548   0.0505525 0.000281866
          80    0.054414   0.0506008 0.000282446
          81   0.0499109   0.0505923 0.000279087
          82   0.0491605   0.0505748 0.000276229
          83   0.0470475   0.0505323 0.000276151
          84   0.0498921   0.0505247 0.000272969
          85   0.0509967   0.0505302 0.000269814
          86   0.0537675   0.0505679 0.000269289
          87   0.0489253    0.050549 0.000266855
          88   0.0541965   0.0505904 0.000267022
          89   0.0506162   0.0505907 0.000264022
          90   0.0498691   0.0505827  0.00026121
          91   0.0553905   0.0506355 0.000263629
          92   0.0455551   0.0505803 0.000266484
          93   0.0535803   0.0506126 0.000265564
          94   0.0453626   0.0505567 0.000268547
          95   0.0523371   0.0505755 0.000266374
          96   0.0502363   0.0505719 0.000263622
          97   0.0519226   0.0505859 0.000261272
          98    0.044804   0.0505269 0.000265184
          99    0.051694   0.0505387 0.000262767
         100    0.050021   0.0505335  0.00026019
