#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.25218     1.25218           0
           2     1.26373     1.25796  0.00408218
           3     1.24637      1.2541  0.00416511
           4     1.22466     1.24674  0.00709669
           5     1.19376     1.23614   0.0110475
           6     1.21557     1.23271   0.0097238
           7     1.21925     1.23079  0.00852272
           8     1.23575     1.23141  0.00747991
           9     1.25089     1.23358  0.00695488
          10      1.2382     1.23404  0.00627472
          11     1.22772     1.23346  0.00573048
          12     1.24287     1.23425  0.00530628
          13     1.22997     1.23392  0.00490831
          14     1.23853     1.23425  0.00456874
          15     1.23227     1.23412  0.00426606
          16     1.20961     1.23258   0.0042655
          17     1.24589     1.23337  0.00408578
          18     1.23811     1.23363  0.00386727
          19     1.27229     1.23566  0.00416478
          20     1.25395     1.23658   0.0040557
          21     1.27774     1.23854  0.00431025
          22     1.26769     1.23986  0.00431316
          23     1.22915      1.2394  0.00415072
          24     1.25707     1.24013  0.00404253
          25     1.26824     1.24126  0.00403412
          26     1.23644     1.24107  0.00388322
          27     1.22478     1.24047  0.00378598
          28     1.23568      1.2403  0.00365463
          29     1.22973     1.23993  0.00354672
          30     1.20304      1.2387  0.00363551
          31     1.22618      1.2383   0.0035406
          32     1.23272     1.23813  0.00343425
          33     1.21073      1.2373  0.00342909
          34     1.20548     1.23636  0.00345352
          35     1.21166     1.23565  0.00342619
          36     1.20308     1.23475  0.00344845
          37     1.23109     1.23465  0.00335666
          38     1.24376     1.23489  0.00327688
          39     1.21456     1.23437  0.00323404
          40     1.19921     1.23349  0.00327045
          41     1.22584      1.2333    0.003196
          42     1.21538     1.23288  0.00314827
          43     1.21977     1.23257  0.00308978
          44      1.2137     1.23214  0.00304917
          45     1.21134     1.23168  0.00301627
          46     1.19012     1.23078  0.00308306
          47     1.18571     1.22982  0.00316304
          48     1.18878     1.22896  0.00321062
          49     1.19806     1.22833  0.00320645
          50     1.22682      1.2283  0.00314247
          51     1.23362     1.22841  0.00308258
          52     1.22072     1.22826  0.00302684
          53     1.22311     1.22816  0.00297129
          54     1.22219     1.22805  0.00291832
          55     1.23649      1.2282  0.00286929
          56     1.23513     1.22833  0.00282072
          57     1.21378     1.22807  0.00278277
          58     1.26158     1.22865  0.00279411
          59     1.27876      1.2295  0.00287291
          60     1.27654     1.23028  0.00293005
          61     1.31078      1.2316  0.00316525
          62     1.29493     1.23263  0.00327485
          63     1.27942     1.23337  0.00330601
          64     1.22923      1.2333  0.00325499
          65     1.21988      1.2331  0.00321146
          66     1.23767     1.23317  0.00316355
          67     1.24166     1.23329  0.00311887
          68     1.23737     1.23335  0.00307358
          69     1.22562     1.23324  0.00303108
          70      1.2364     1.23329  0.00298811
          71     1.21212     1.23299  0.00296086
          72     1.24241     1.23312  0.00292263
          73     1.26597     1.23357  0.00291704
          74     1.23561      1.2336  0.00287775
          75     1.21595     1.23336  0.00284898
          76     1.22714     1.23328  0.00281267
          77       1.212       1.233  0.00278969
          78     1.22474      1.2329  0.00275593
          79     1.20021     1.23248  0.00275194
          80     1.20359     1.23212  0.00274113
          81     1.22234       1.232  0.00270995
          82     1.19803     1.23159  0.00270839
          83     1.17709     1.23093  0.00275421
          84     1.21168      1.2307  0.00273093
          85      1.2102     1.23046  0.00270943
          86     1.21528     1.23028  0.00268367
          87     1.19718      1.2299  0.00267966
          88     1.19643     1.22952  0.00267606
          89     1.23076     1.22954  0.00264603
          90     1.21353     1.22936   0.0026226
          91     1.20803     1.22912  0.00260424
          92     1.18824     1.22868  0.00261357
          93     1.20353     1.22841  0.00259942
          94     1.22428     1.22837  0.00257214
          95     1.21856     1.22826  0.00254713
          96     1.21021     1.22807  0.00252753
          97     1.21546     1.22794  0.00250482
          98     1.23833     1.22805   0.0024815
          99     1.24438     1.22822  0.00246191
         100     1.22165     1.22815  0.00243817
