#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42266     1.42266           0
           2     1.42213      1.4224 0.000189609
           3     1.42221     1.42233 0.000136113
           4     1.42218     1.42229  0.00010768
           5     1.42214     1.42226 9.05871e-05
           6     1.42225     1.42226  7.5538e-05
           7     1.42214     1.42224 6.67703e-05
           8     1.42208     1.42222 6.14347e-05
           9     1.42214     1.42221  5.5308e-05
          10     1.42215     1.42221 5.01054e-05
          11     1.42207     1.42219 4.70315e-05
          12     1.42221      1.4222  4.3141e-05
          13     1.42212     1.42219 4.02394e-05
          14      1.4222     1.42219 3.73697e-05
          15     1.42213     1.42219 3.50622e-05
          16     1.42212     1.42218 3.31511e-05
          17     1.42214     1.42218 3.12991e-05
          18     1.42213     1.42218 2.96697e-05
          19     1.42212     1.42217  2.8257e-05
          20     1.42217     1.42217 2.68444e-05
          21     1.42222     1.42218 2.56681e-05
          22     1.42219     1.42218 2.45045e-05
          23     1.42215     1.42218 2.34593e-05
          24     1.42201     1.42217 2.35164e-05
          25     1.42208     1.42217 2.28647e-05
          26     1.42197     1.42216 2.32144e-05
          27     1.42199     1.42215 2.32019e-05
          28     1.42203     1.42215 2.27494e-05
          29     1.42212     1.42215 2.19876e-05
          30     1.42228     1.42215 2.17182e-05
          31     1.42212     1.42215 2.10427e-05
          32     1.42225     1.42215 2.05998e-05
          33     1.42213     1.42215 1.99852e-05
          34     1.42221     1.42215 1.94603e-05
          35     1.42213     1.42215 1.89144e-05
          36      1.4222     1.42215 1.84358e-05
          37      1.4221     1.42215 1.79972e-05
          38     1.42214     1.42215  1.7526e-05
          39     1.42197     1.42215 1.77217e-05
          40     1.42207     1.42215  1.7392e-05
          41     1.42211     1.42214 1.69843e-05
          42     1.42216     1.42215 1.65837e-05
          43     1.42212     1.42214 1.62087e-05
          44     1.42215     1.42214 1.58411e-05
          45     1.42206     1.42214 1.55947e-05
          46     1.42215     1.42214 1.52564e-05
          47     1.42205     1.42214 1.50573e-05
          48     1.42205     1.42214 1.48565e-05
          49     1.42204     1.42214  1.4684e-05
          50     1.42213     1.42214 1.43909e-05
          51       1.422     1.42213  1.4357e-05
          52     1.42199     1.42213  1.4363e-05
          53     1.42201     1.42213  1.4264e-05
          54     1.42205     1.42213 1.40707e-05
          55     1.42205     1.42213  1.3893e-05
          56     1.42222     1.42213 1.37506e-05
          57     1.42225     1.42213 1.36709e-05
          58     1.42214     1.42213 1.34366e-05
          59     1.42222     1.42213 1.32982e-05
          60     1.42211     1.42213 1.30826e-05
          61     1.42203     1.42213 1.29642e-05
          62     1.42207     1.42213 1.27957e-05
          63     1.42213     1.42213 1.25926e-05
          64     1.42214     1.42213 1.23962e-05
          65     1.42218     1.42213 1.22289e-05
          66     1.42211     1.42213 1.20478e-05
          67     1.42205     1.42213 1.19319e-05
          68     1.42214     1.42213 1.17578e-05
          69     1.42207     1.42213 1.16233e-05
          70     1.42213     1.42213 1.14577e-05
          71     1.42203     1.42213 1.13763e-05
          72     1.42192     1.42212 1.15661e-05
          73     1.42202     1.42212 1.14943e-05
          74     1.42191     1.42212 1.16848e-05
          75     1.42199     1.42212 1.16625e-05
          76       1.422     1.42212 1.16137e-05
          77     1.42193     1.42211 1.17233e-05
          78     1.42196     1.42211 1.17346e-05
          79     1.42202     1.42211 1.16394e-05
          80      1.4222     1.42211 1.15439e-05
          81     1.42214     1.42211 1.14063e-05
          82     1.42222     1.42211 1.13484e-05
          83     1.42215     1.42211  1.1221e-05
          84     1.42199     1.42211 1.11797e-05
          85     1.42203     1.42211 1.10904e-05
          86     1.42197     1.42211 1.10835e-05
          87     1.42178     1.42211 1.15917e-05
          88     1.42201      1.4221 1.15131e-05
          89     1.42203      1.4221 1.14157e-05
          90     1.42203      1.4221 1.13189e-05
          91     1.42209      1.4221 1.11951e-05
          92     1.42211      1.4221 1.10737e-05
          93     1.42206      1.4221 1.09642e-05
          94     1.42208      1.4221 1.08515e-05
          95     1.42214      1.4221 1.07443e-05
          96     1.42187      1.4221 1.09093e-05
          97     1.42203      1.4221 1.08213e-05
          98     1.42198      1.4221 1.07761e-05
          99     1.42202      1.4221 1.06933e-05
         100     1.42206      1.4221 1.05923e-05
