# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.0256496               0               0
0.0512993               0               0
0.0769489               0               0
0.102599               0               0
0.128248               0               0
0.153898               0               0
0.179547               0               0
0.205197               0               0
0.230847               0               0
0.256496               0               0
0.282146               0               0
0.307796               0               0
0.333445               0               0
0.359095               0               0
0.384745               0               0
0.410394               0               0
0.436044               0               0
0.461694               0               0
0.487343               0               0
0.512993               0               0
0.538642               0               0
0.564292               0               0
0.589942               0               0
0.615591               0               0
0.641241               0               0
0.666891               0               0
0.69254               0               0
0.71819               0               0
0.74384               0               0
0.769489               0               0
0.795139               0               0
0.820788               0               0
0.846438               0               0
0.872088      0.00134117       0.0001813
0.897737       0.0233877     0.000906602
0.923387        0.156623      0.00230059
0.949037        0.540666      0.00384607
0.974686         1.14976      0.00625169
1.00034         1.78862      0.00896212
1.02599         2.23273      0.00962531
1.05164         2.43024      0.00956715
1.07728         2.43263      0.00968173
1.10293         2.28632      0.00853056
1.12858         2.10006      0.00824042
1.15423         1.89151      0.00774905
1.17988         1.69727      0.00900988
1.20553         1.50007       0.0102759
1.23118         1.34037        0.008235
1.25683         1.19196      0.00691792
1.28248         1.08252      0.00596139
1.30813        0.980421      0.00554172
1.33378        0.896687      0.00493323
1.35943        0.838513      0.00487762
1.38508        0.784183      0.00499703
1.41073        0.739048      0.00419952
1.43638        0.709555      0.00432313
1.46203        0.680469      0.00405992
1.48768        0.663304      0.00386374
1.51333        0.649818      0.00446878
1.53898        0.645531       0.0038753
1.56463        0.647882      0.00392903
1.59028        0.647285      0.00366612
1.61593        0.662974      0.00438298
1.64158        0.680171       0.0037369
1.66723         0.70322      0.00348626
1.69288        0.732604      0.00434923
1.71853         0.75443      0.00379374
1.74418        0.795551      0.00389959
1.76983         0.83649      0.00389656
1.79547        0.881274      0.00432594
1.82112        0.922863      0.00432805
1.84677         0.96054      0.00414007
1.87242        0.998246      0.00445968
1.89807         1.03934      0.00390021
1.92372         1.06707      0.00410239
1.94937         1.09708      0.00428452
1.97502         1.13151      0.00366329
2.00067         1.15346      0.00392781
2.02632         1.17396      0.00388432
2.05197           1.188      0.00438262
2.07762         1.19193      0.00703511
2.10327         1.18557      0.00473122
2.12892         1.16552      0.00391552
2.15457         1.14653      0.00364323
2.18022         1.12073      0.00370403
2.20587         1.09599       0.0034007
2.23152         1.07142      0.00330097
2.25717           1.036       0.0030542
2.28282         1.00931      0.00350851
2.30847        0.985424      0.00314824
2.33412        0.961807      0.00305407
2.35977        0.940037      0.00307368
2.38542        0.921484       0.0031394
2.41107        0.908633      0.00322891
2.43672        0.893441      0.00270582
2.46237        0.879555       0.0025208
2.48802        0.872932       0.0029693
2.51366        0.865948      0.00309616
2.53931        0.873695      0.00336835
