#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.79445     1.79445           0
           2     1.66524     1.72985   0.0456799
           3     1.65876     1.70615   0.0360799
           4     1.64047     1.68973    0.030569
           5     1.68345     1.68847    0.024481
           6     1.66559     1.68466   0.0206957
           7     1.65148     1.67992    0.018274
           8     1.67353     1.67912   0.0160072
           9     1.64594     1.67543   0.0146469
          10     1.68135     1.67603   0.0131942
          11     1.66885     1.67537   0.0120109
          12     1.62496     1.67117   0.0117218
          13     1.65124     1.66964   0.0109199
          14     1.65151     1.66834   0.0102164
          15       1.605     1.66412   0.0103715
          16     1.65069     1.66328  0.00975718
          17     1.68794     1.66473  0.00929045
          18     1.63648     1.66316  0.00890595
          19       1.654     1.66268  0.00845026
          20     1.66009     1.66255  0.00802874
          21     1.68483     1.66361  0.00771618
          22     1.65065     1.66302  0.00738791
          23     1.68038     1.66378  0.00710513
          24     1.61402      1.6617  0.00710511
          25     1.63624     1.66068  0.00689349
          26     1.63151     1.65956  0.00671906
          27     1.57413      1.6564  0.00717669
          28     1.58849     1.65397  0.00731869
          29     1.63496     1.65332  0.00709564
          30     1.57873     1.65083  0.00728173
          31     1.63113      1.6502  0.00707451
          32     1.63786     1.64981  0.00686392
          33     1.63438     1.64934  0.00667183
          34     1.70673     1.65103  0.00668569
          35     1.67968     1.65185  0.00654459
          36     1.66881     1.65232  0.00637973
          37     1.60783     1.65112  0.00631961
          38     1.68184     1.65193  0.00620481
          39     1.66448     1.65225  0.00605405
          40      1.6642     1.65255  0.00591008
          41     1.63035     1.65201  0.00579068
          42     1.65976     1.65219  0.00565575
          43     1.60572     1.65111  0.00562651
          44     1.64343     1.65093  0.00550134
          45     1.65682     1.65107  0.00538064
          46      1.6324     1.65066  0.00527896
          47     1.65344     1.65072  0.00516697
          48      1.6982     1.65171  0.00515313
          49     1.70569     1.65281  0.00516437
          50     1.68938     1.65354  0.00511261
          51     1.68653     1.65419  0.00505312
          52     1.65811     1.65426  0.00495651
          53     1.63391     1.65388  0.00487784
          54     1.63673     1.65356  0.00479783
          55     1.58774     1.65237  0.00485755
          56     1.66073     1.65251   0.0047731
          57     1.65089     1.65249  0.00468945
          58     1.64402     1.65234  0.00461087
          59     1.64205     1.65217  0.00453602
          60     1.63525     1.65188  0.00446917
          61     1.66835     1.65215  0.00440405
          62     1.61545     1.65156  0.00437263
          63      1.6574     1.65165  0.00430421
          64     1.66001     1.65178  0.00423893
          65     1.63664     1.65155  0.00418012
          66     1.62713     1.65118  0.00413312
          67     1.66754     1.65143  0.00407864
          68     1.69651     1.65209  0.00407218
          69     1.67914     1.65248  0.00403199
          70     1.63808     1.65228  0.00397963
          71     1.58447     1.65132  0.00403653
          72     1.63918     1.65115  0.00398398
          73     1.64871     1.65112  0.00392955
          74     1.67142     1.65139  0.00388601
          75     1.66495     1.65157   0.0038384
          76     1.61291     1.65106  0.00382145
          77     1.66203     1.65121  0.00377447
          78     1.64559     1.65113  0.00372677
          79      1.6366     1.65095  0.00368413
          80     1.68493     1.65138  0.00366248
          81     1.60805     1.65084  0.00365612
          82     1.62263      1.6505  0.00362769
          83     1.67076     1.65074  0.00359219
          84     1.62366     1.65042  0.00356386
          85     1.62976     1.65018  0.00353021
          86     1.64394      1.6501  0.00348991
          87     1.65972     1.65021  0.00345155
          88      1.6133     1.64979  0.00343772
          89     1.64082     1.64969  0.00340057
          90     1.69317     1.65018  0.00339692
          91     1.69005     1.65061  0.00338774
          92     1.62814     1.65037  0.00335971
          93     1.67569     1.65064   0.0033346
          94     1.67738     1.65093  0.00331124
          95     1.60766     1.65047  0.00330756
          96     1.64781     1.65044  0.00327322
          97     1.65321     1.65047   0.0032396
          98     1.63547     1.65032  0.00321016
          99     1.61679     1.64998  0.00319556
         100     1.61064     1.64959  0.00318772
