#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.17639    -5.17639           0
           2    -5.04608    -5.11123   0.0460692
           3    -5.04031    -5.08759   0.0362747
           4    -5.02229    -5.07127    0.030661
           5     -5.0679    -5.07059   0.0245362
           6    -5.04661    -5.06659   0.0207699
           7    -5.03228    -5.06169   0.0183722
           8    -5.05552    -5.06092   0.0160918
           9    -5.02783    -5.05724   0.0147178
          10    -5.06251    -5.05777   0.0132555
          11    -5.05142    -5.05719    0.012063
          12    -5.00672    -5.05299   0.0117683
          13    -5.03379    -5.05151   0.0109554
          14    -5.03163    -5.05009   0.0102645
          15    -4.98538    -5.04578   0.0104475
          16    -5.03301    -5.04498  0.00982491
          17    -5.06987    -5.04644  0.00935543
          18    -5.01865     -5.0449   0.0089622
          19    -5.03488    -5.04437  0.00850601
          20    -5.04286     -5.0443  0.00808105
          21    -5.06924    -5.04548  0.00778302
          22    -5.03244    -5.04489  0.00745177
          23    -5.06318    -5.04569  0.00717007
          24     -4.9977    -5.04369  0.00714468
          25     -5.0188    -5.04269   0.0069279
          26    -5.01046    -5.04145  0.00677142
          27     -4.9547    -5.03824  0.00724287
          28    -4.97029    -5.03581  0.00737949
          29    -5.01529     -5.0351  0.00715887
          30    -4.95955    -5.03259   0.0073499
          31    -5.01311    -5.03196  0.00713962
          32    -5.02135    -5.03163   0.0069242
          33    -5.01549    -5.03114  0.00673161
          34    -5.09344    -5.03297  0.00677843
          35    -5.06301    -5.03383  0.00663886
          36    -5.05063    -5.03429  0.00647083
          37    -4.98663    -5.03301  0.00642291
          38    -5.06234    -5.03378   0.0063001
          39    -5.04588    -5.03409   0.0061462
          40    -5.04667     -5.0344  0.00600058
          41    -5.01252    -5.03387  0.00587792
          42    -5.04069    -5.03403  0.00574021
          43    -4.98821    -5.03297  0.00570477
          44    -5.02377    -5.03276  0.00557894
          45    -5.03816    -5.03288  0.00545626
          46    -5.01415    -5.03247  0.00535281
          47    -5.03558    -5.03254  0.00523933
          48    -5.08007    -5.03353  0.00522293
          49    -5.08772    -5.03463  0.00523214
          50    -5.06788     -5.0353  0.00516958
          51    -5.06944    -5.03597  0.00511138
          52    -5.03786      -5.036  0.00501322
          53    -5.01363    -5.03558  0.00493638
          54    -5.01963    -5.03529  0.00485379
          55     -4.9689    -5.03408  0.00491334
          56    -5.04198    -5.03422  0.00482763
          57    -5.03228    -5.03419  0.00474306
          58    -5.02634    -5.03405  0.00466321
          59    -5.02241    -5.03385  0.00458834
          60      -5.015    -5.03354  0.00452261
          61    -5.04955     -5.0338  0.00445608
          62    -4.99574    -5.03319  0.00442629
          63    -5.03965    -5.03329  0.00435722
          64    -5.04107    -5.03341  0.00429083
          65    -5.01619    -5.03315  0.00423299
          66    -5.00863    -5.03278  0.00418512
          67    -5.04987    -5.03303  0.00413043
          68    -5.08136    -5.03374  0.00413038
          69    -5.05992    -5.03412  0.00408792
          70    -5.01574    -5.03386  0.00403794
          71    -4.96423    -5.03288  0.00409843
          72    -5.02128    -5.03272  0.00404467
          73    -5.02932    -5.03267  0.00398953
          74    -5.05359    -5.03295  0.00394562
          75     -5.0485    -5.03316  0.00389845
          76    -4.99417    -5.03265  0.00388076
          77    -5.04177    -5.03277  0.00383217
          78    -5.02649    -5.03268  0.00378388
          79    -5.01654    -5.03248   0.0037415
          80    -5.06619     -5.0329  0.00371838
          81    -4.98817    -5.03235  0.00371325
          82     -5.0045    -5.03201  0.00368347
          83    -5.05168    -5.03225   0.0036467
          84    -5.00345     -5.0319  0.00361937
          85    -5.01087    -5.03166  0.00358523
          86    -5.02661     -5.0316  0.00354403
          87    -5.03983    -5.03169  0.00350455
          88    -4.99491    -5.03127  0.00348956
          89    -5.02201    -5.03117  0.00345191
          90    -5.07695    -5.03168  0.00345082
          91    -5.07231    -5.03213  0.00344167
          92    -5.01183     -5.0319  0.00341132
          93    -5.05896     -5.0322  0.00338702
          94    -5.06069     -5.0325  0.00336452
          95    -4.98765    -5.03203  0.00336206
          96    -5.02493    -5.03195  0.00332786
          97     -5.0332    -5.03197  0.00329357
          98    -5.01465    -5.03179   0.0032647
          99    -4.99869    -5.03145   0.0032488
         100    -4.99006    -5.03104  0.00324258
