#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.39943     1.39943           0
           2     1.98213     1.69078    0.206017
           3     2.00573     1.79576    0.161899
           4     2.07729     1.86614    0.135863
           5     2.09906     1.91273    0.116403
           6     2.13594     1.94993    0.102776
           7     2.09654     1.97087   0.0902023
           8      1.9645     1.97008   0.0789305
           9     2.18395     1.99384   0.0736509
          10     2.00746      1.9952   0.0662984
          11      1.9728     1.99317   0.0603026
          12     2.19316     2.00983   0.0575343
          13     2.04824     2.01279   0.0531844
          14      2.0831     2.01781   0.0496221
          15     2.23882     2.03254   0.0484521
          16     2.04391     2.03325   0.0454291
          17     1.86678     2.02346   0.0437995
          18     2.24019      2.0355   0.0429893
          19      2.0069       2.034   0.0407531
          20     2.11923     2.03826   0.0389376
          21     1.85744     2.02965   0.0380235
          22     2.07287     2.03161   0.0363459
          23     1.95669     2.02835   0.0349113
          24     2.25269      2.0377   0.0346854
          25     2.05488     2.03839   0.0333048
          26     2.19799     2.04453   0.0325846
          27     2.42039     2.05845   0.0342225
          28     2.39598      2.0705   0.0350592
          29     2.19118     2.07466   0.0340963
          30       2.385     2.08501   0.0344933
          31     2.07943     2.08483    0.033381
          32     2.13416     2.08637   0.0323735
          33     2.10881     2.08705   0.0313996
          34     1.74433     2.07697   0.0320532
          35     1.94762     2.07327   0.0313498
          36     1.97849     2.07064   0.0305893
          37     2.37806     2.07895   0.0308704
          38     1.89369     2.07407   0.0304405
          39     2.11829     2.07521   0.0296811
          40     2.02365     2.07392    0.028967
          41     2.32545     2.08005   0.0289029
          42     2.11044     2.08078   0.0282238
          43     2.19433     2.08342   0.0276907
          44      2.1287     2.08445   0.0270805
          45     2.24871      2.0881   0.0267236
          46     2.05852     2.08746   0.0261504
          47     2.11734     2.08809   0.0256017
          48     1.96084     2.08544   0.0252052
          49     2.01342     2.08397   0.0247336
          50     1.96617     2.08161   0.0243509
          51     1.84769     2.07703   0.0243016
          52     2.03795     2.07628   0.0238459
          53     2.11733     2.07705   0.0234085
          54     2.09307     2.07735   0.0229769
          55     2.45822     2.08427   0.0235796
          56     2.06972     2.08401     0.02316
          57     2.19282     2.08592   0.0228322
          58     2.10986     2.08633   0.0224423
          59     2.29504     2.08987    0.022339
          60     2.27486     2.09295   0.0221784
          61     2.14059     2.09374   0.0218285
          62     2.18474      2.0952   0.0215258
          63      2.1369     2.09587   0.0211943
          64        2.09     2.09577   0.0208633
          65     2.16919      2.0969   0.0205729
          66     2.22371     2.09882   0.0203507
          67     1.97493     2.09698   0.0201308
          68     1.75587     2.09196   0.0204502
          69     2.23229     2.09399   0.0202547
          70     2.40888     2.09849   0.0204587
          71     2.51334     2.10433   0.0209884
          72     2.14646     2.10492    0.020705
          73     2.01826     2.10373   0.0204554
          74     2.05178     2.10303    0.020191
          75     2.05032     2.10233    0.019934
          76      2.2376     2.10411    0.019751
          77     2.17971     2.10509   0.0195189
          78      2.2676     2.10717   0.0193795
          79     2.22498     2.10866   0.0191915
          80     2.08791      2.1084   0.0189534
          81     2.33413     2.11119   0.0189231
          82     2.23138     2.11266   0.0187491
          83     1.95129     2.11071   0.0186237
          84     2.15706     2.11126   0.0184101
          85     2.16152     2.11186    0.018203
          86     2.20627     2.11295   0.0180245
          87      2.1631     2.11353   0.0178265
          88      2.3342     2.11604   0.0177994
          89     2.26353     2.11769   0.0176764
          90     1.86764     2.11492    0.017697
          91     1.90216     2.11258   0.0176563
          92     2.22477      2.1138   0.0175064
          93     1.91467     2.11166   0.0174487
          94     1.94021     2.10983   0.0173581
          95     2.40148      2.1129   0.0174448
          96     2.13962     2.11318   0.0172653
          97     2.31304     2.11524   0.0172098
          98     2.29617     2.11709   0.0171329
          99     2.20072     2.11793   0.0169807
         100     2.34918     2.12025   0.0169676
