#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1963      1.1963           0
           2     1.11016     1.15323   0.0304533
           3     1.10584     1.13743   0.0240532
           4     1.09364     1.12649   0.0203793
           5      1.1223     1.12565   0.0163207
           6     1.11039     1.12311   0.0137972
           7     1.10098     1.11995   0.0121827
           8     1.11568     1.11941   0.0106715
           9      1.0973     1.11696  0.00976463
          10      1.1209     1.11735  0.00879614
          11     1.11256     1.11691  0.00800724
          12      1.0833     1.11411  0.00781452
          13     1.10083     1.11309  0.00727993
          14     1.10101     1.11223  0.00681091
          15        1.07     1.10941  0.00691431
          16     1.10046     1.10885  0.00650479
          17      1.1253     1.10982  0.00619364
          18     1.09098     1.10877   0.0059373
          19     1.10266     1.10845  0.00563351
          20     1.10673     1.10837  0.00535249
          21     1.12322     1.10907  0.00514412
          22     1.10043     1.10868  0.00492528
          23     1.12025     1.10918  0.00473675
          24     1.07601      1.1078  0.00473674
          25     1.09083     1.10712  0.00459566
          26     1.08767     1.10637  0.00447938
          27     1.04942     1.10427  0.00478446
          28     1.05899     1.10265  0.00487913
          29     1.08997     1.10221  0.00473042
          30     1.05248     1.10055  0.00485448
          31     1.08742     1.10013  0.00471634
          32     1.09191     1.09987  0.00457595
          33     1.08959     1.09956  0.00444789
          34     1.13782     1.10069  0.00445713
          35     1.11979     1.10123  0.00436306
          36     1.11254     1.10155  0.00425315
          37     1.07189     1.10075  0.00421308
          38     1.12123     1.10128  0.00413654
          39     1.10965      1.1015  0.00403604
          40     1.10947      1.1017  0.00394005
          41      1.0869     1.10134  0.00386045
          42     1.10651     1.10146   0.0037705
          43     1.07048     1.10074  0.00375101
          44     1.09562     1.10062  0.00366756
          45     1.10454     1.10071   0.0035871
          46     1.08826     1.10044  0.00351931
          47     1.10229     1.10048  0.00344465
          48     1.13213     1.10114  0.00343542
          49     1.13712     1.10187  0.00344292
          50     1.12625     1.10236  0.00340841
          51     1.12435     1.10279  0.00336875
          52     1.10541     1.10284  0.00330434
          53     1.08928     1.10259  0.00325189
          54     1.09116     1.10237  0.00319855
          55     1.05849     1.10158  0.00323837
          56     1.10715     1.10168  0.00318207
          57      1.1006     1.10166   0.0031263
          58     1.09601     1.10156  0.00307391
          59      1.0947     1.10144  0.00302401
          60     1.09017     1.10126  0.00297945
          61     1.11223     1.10144  0.00293603
          62     1.07696     1.10104  0.00291509
          63     1.10493      1.1011  0.00286947
          64     1.10667     1.10119  0.00282596
          65     1.09109     1.10103  0.00278675
          66     1.08476     1.10079  0.00275542
          67     1.11169     1.10095  0.00271909
          68       1.131     1.10139  0.00271479
          69     1.11943     1.10165  0.00268799
          70     1.09206     1.10152  0.00265309
          71     1.05632     1.10088  0.00269102
          72     1.09279     1.10077  0.00265599
          73     1.09914     1.10075   0.0026197
          74     1.11428     1.10093  0.00259067
          75     1.10996     1.10105  0.00255893
          76     1.07528     1.10071  0.00254763
          77     1.10802      1.1008  0.00251631
          78     1.09706     1.10076  0.00248451
          79     1.09107     1.10063  0.00245609
          80     1.12329     1.10092  0.00244166
          81     1.07203     1.10056  0.00243741
          82     1.08175     1.10033  0.00241846
          83     1.11384     1.10049  0.00239479
          84     1.08244     1.10028  0.00237591
          85     1.08651     1.10012  0.00235348
          86     1.09596     1.10007  0.00232661
          87     1.10648     1.10014  0.00230103
          88     1.07553     1.09986  0.00229181
          89     1.09388      1.0998  0.00226705
          90     1.12878     1.10012  0.00226462
          91      1.1267     1.10041  0.00225849
          92     1.08543     1.10025  0.00223981
          93     1.11713     1.10043  0.00222307
          94     1.11826     1.10062  0.00220749
          95     1.07177     1.10031  0.00220504
          96     1.09854      1.1003  0.00218215
          97     1.10214     1.10031  0.00215974
          98     1.09031     1.10021  0.00214011
          99     1.07786     1.09999  0.00213037
         100     1.07376     1.09972  0.00212515
