#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.38194    -3.38194           0
           2    -3.38084    -3.38139 0.000389338
           3    -3.38156    -3.38144 0.000263617
           4    -3.38182    -3.38154 0.000213659
           5    -3.38445    -3.38212 0.000547607
           6    -3.38102    -3.38194 0.000486204
           7     -3.3808    -3.38177 0.000442866
           8      -3.382     -3.3818 0.000388383
           9    -3.38189    -3.38181 0.000345351
          10    -3.38116    -3.38175 0.000316927
          11    -3.38257    -3.38182 0.000296881
          12    -3.38176    -3.38182 0.000272184
          13    -3.38255    -3.38187 0.000256992
          14    -3.38011    -3.38175 0.000267561
          15    -3.38039    -3.38166 0.000264684
          16    -3.38233     -3.3817 0.000251419
          17    -3.38193    -3.38171 0.000236985
          18    -3.38217    -3.38174 0.000225209
          19    -3.38088    -3.38169 0.000217848
          20    -3.38276    -3.38175 0.000213442
          21    -3.38441    -3.38187 0.000237975
          22     -3.3818    -3.38187 0.000227182
          23     -3.3828    -3.38191 0.000220882
          24    -3.38368    -3.38198 0.000223622
          25    -3.38255    -3.38201  0.00021584
          26    -3.37895    -3.38189 0.000237342
          27    -3.38057    -3.38184 0.000233504
          28     -3.3818    -3.38184 0.000225168
          29    -3.38033    -3.38179 0.000223308
          30    -3.38082    -3.38175 0.000218156
          31    -3.38198    -3.38176 0.000211238
          32    -3.38348    -3.38182 0.000211381
          33    -3.38111    -3.38179 0.000206044
          34    -3.38671    -3.38194 0.000245496
          35    -3.38333    -3.38198 0.000241665
          36    -3.38182    -3.38197 0.000234993
          37     -3.3788    -3.38189 0.000243801
          38     -3.3805    -3.38185 0.000240115
          39     -3.3814    -3.38184 0.000234232
          40    -3.38247    -3.38186 0.000228898
          41    -3.38217    -3.38186 0.000223444
          42    -3.38093    -3.38184 0.000219222
          43    -3.38249    -3.38186 0.000214639
          44    -3.38034    -3.38182 0.000212499
          45    -3.38134    -3.38181 0.000208042
          46    -3.38176    -3.38181 0.000203522
          47    -3.38214    -3.38182 0.000199314
          48    -3.38187    -3.38182 0.000195166
          49    -3.38204    -3.38182 0.000191233
          50     -3.3785    -3.38176 0.000198623
          51    -3.38291    -3.38178 0.000196017
          52    -3.37974    -3.38174 0.000196116
          53    -3.37971     -3.3817 0.000196116
          54     -3.3829    -3.38172 0.000193731
          55    -3.38115    -3.38171 0.000190487
          56    -3.38125    -3.38171 0.000187262
          57    -3.38139     -3.3817 0.000184058
          58    -3.38232    -3.38171 0.000181197
          59    -3.38037    -3.38169 0.000179548
          60    -3.37975    -3.38166 0.000179442
          61    -3.38119    -3.38165 0.000176659
          62     -3.3803    -3.38163  0.00017515
          63    -3.38225    -3.38164 0.000172652
          64    -3.38106    -3.38163 0.000170188
          65    -3.37956     -3.3816 0.000170518
          66     -3.3815    -3.38159 0.000167941
          67    -3.38234     -3.3816 0.000165801
          68    -3.38485    -3.38165 0.000170109
          69    -3.38079    -3.38164 0.000168106
          70    -3.37765    -3.38158 0.000175094
          71    -3.37976    -3.38156 0.000174508
          72    -3.38209    -3.38156 0.000172243
          73    -3.38061    -3.38155 0.000170376
          74    -3.38217    -3.38156 0.000168277
          75    -3.38355    -3.38159 0.000168114
          76    -3.38126    -3.38158 0.000165957
          77    -3.37974    -3.38156 0.000165523
          78     -3.3809    -3.38155 0.000163616
          79    -3.37995    -3.38153   0.0001628
          80    -3.38126    -3.38153   0.0001608
          81    -3.38012    -3.38151 0.000159744
          82    -3.38187    -3.38151 0.000157856
          83    -3.38091    -3.38151 0.000156119
          84    -3.37979    -3.38149 0.000155584
          85    -3.38111    -3.38148 0.000153815
          86    -3.38266     -3.3815 0.000152639
          87     -3.3801    -3.38148  0.00015172
          88    -3.38161    -3.38148 0.000150004
          89    -3.38119    -3.38148 0.000148352
          90    -3.38378     -3.3815 0.000148888
          91    -3.38226    -3.38151 0.000147484
          92    -3.38369    -3.38153 0.000147768
          93    -3.38327    -3.38155  0.00014735
          94     -3.3833    -3.38157 0.000146953
          95    -3.37999    -3.38156 0.000146344
          96    -3.37711    -3.38151  0.00015196
          97    -3.37999    -3.38149 0.000151199
          98    -3.37918    -3.38147 0.000151483
          99     -3.3819    -3.38147 0.000150016
         100    -3.37942    -3.38145 0.000149922
