# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.0230664               0               0
0.0461329               0               0
0.0691993               0               0
0.0922657               0               0
0.115332               0               0
0.138399               0               0
0.161465               0               0
0.184531               0               0
0.207598               0               0
0.230664               0               0
0.253731               0               0
0.276797               0               0
0.299864               0               0
0.32293               0               0
0.345996               0               0
0.369063               0               0
0.392129               0               0
0.415196               0               0
0.438262               0               0
0.461329               0               0
0.484395               0               0
0.507461               0               0
0.530528               0               0
0.553594               0               0
0.576661               0               0
0.599727               0               0
0.622794               0               0
0.64586               0               0
0.668926               0               0
0.691993               0               0
0.715059               0               0
0.738126               0               0
0.761192               0               0
0.784259               0               0
0.807325               0               0
0.830391               0               0
0.853458               0               0
0.876524     4.87595e-05      2.7577e-05
0.899591      0.00366212     0.000285502
0.922657       0.0486379      0.00101651
0.945724        0.291696      0.00197121
0.96879        0.991659      0.00399122
0.991856         2.17447      0.00639615
1.01492         3.49327       0.0080705
1.03799         4.39976      0.00887462
1.06106         4.63734      0.00851928
1.08412         4.26257      0.00986502
1.10719         3.47828      0.00870644
1.13026         2.57133      0.00716348
1.15332         1.74747      0.00637561
1.17639         1.10834      0.00457838
1.19945        0.651739      0.00336969
1.22252        0.355083      0.00281785
1.24559        0.179471      0.00210828
1.26865       0.0875862      0.00159662
1.29172       0.0495347      0.00127295
1.31479       0.0421798      0.00114434
1.33785       0.0593626       0.0014036
1.36092        0.105405      0.00175976
1.38399        0.181623      0.00187927
1.40705        0.294123        0.002539
1.43012        0.444666      0.00262807
1.45319        0.614773        0.003174
1.47625        0.768787      0.00356253
1.49932        0.882741      0.00414928
1.52238        0.932089      0.00435834
1.54545        0.896588       0.0039516
1.56852         0.77988       0.0031713
1.59158        0.623239      0.00229698
1.61465        0.454857      0.00217628
1.63772        0.311373      0.00215147
1.66078        0.221181      0.00208799
1.68385        0.194187      0.00242474
1.70692         0.25965      0.00267135
1.72998        0.437915      0.00339782
1.75305        0.742979      0.00378008
1.77612         1.18127      0.00364197
1.79918         1.69431      0.00378261
1.82225         2.16647      0.00466935
1.84531         2.50532       0.0064953
1.86838         2.61921      0.00710743
1.89145         2.46067      0.00613599
1.91451         2.11086       0.0046538
1.93758         1.65102      0.00356278
1.96065         1.18345       0.0032057
1.98371        0.800905      0.00347788
2.00678        0.548805      0.00351574
2.02985        0.438692      0.00301201
2.05291        0.462359      0.00278818
2.07598        0.582057      0.00235149
2.09905        0.743834      0.00194506
2.12211        0.888175      0.00231796
2.14518        0.976582      0.00286367
2.16824        0.979371       0.0030445
2.19131         0.89977      0.00266092
2.21438        0.772206      0.00209447
2.23744        0.647194      0.00225379
2.26051        0.569731      0.00311757
2.28358        0.576295      0.00325788
