#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.18898     1.18898           0
           2     1.20014     1.19456  0.00394419
           3     1.20055     1.19656  0.00309439
           4     1.20118     1.19771  0.00252715
           5      1.2058     1.19933  0.00248622
           6     1.20425     1.20015  0.00220269
           7     1.19145     1.19891  0.00221131
           8      1.2021     1.19931  0.00197058
           9     1.20129     1.19953  0.00176395
          10     1.21072     1.20065  0.00190985
          11     1.17643     1.19844  0.00272432
          12     1.21357     1.19971  0.00277371
          13     1.21344     1.20076  0.00275415
          14     1.18757     1.19982  0.00271386
          15     1.20665     1.20028  0.00257088
          16      1.1985     1.20016   0.0024126
          17     1.18836     1.19947  0.00236846
          18     1.20998     1.20005  0.00230778
          19      1.1967     1.19988  0.00219305
          20     1.19257     1.19951  0.00211358
          21     1.19878     1.19948  0.00201322
          22      1.1976     1.19939  0.00192351
          23     1.20635     1.19969  0.00186349
          24     1.20939      1.2001   0.0018291
          25     1.19761         1.2  0.00175865
          26     1.20181     1.20007  0.00169239
          27     1.19492     1.19988   0.0016404
          28     1.20229     1.19996  0.00158407
          29     1.20153     1.20002  0.00153038
          30     1.20133     1.20006  0.00147999
          31     1.19578     1.19992  0.00143868
          32     1.19782     1.19986  0.00139522
          33     1.20344     1.19997  0.00135716
          34     1.19938     1.19995  0.00131736
          35     1.20156         1.2  0.00128052
          36     1.20391      1.2001  0.00124956
          37     1.20075     1.20012  0.00121591
          38     1.20677      1.2003  0.00119643
          39     1.19341     1.20012  0.00117872
          40     1.20468     1.20023  0.00115474
          41     1.20152     1.20027    0.001127
          42      1.1914     1.20005  0.00111977
          43     1.20262     1.20011  0.00109532
          44      1.2001     1.20011  0.00107043
          45     1.20089     1.20013  0.00104678
          46     1.20402     1.20022  0.00102743
          47     1.19867     1.20018  0.00100609
          48     1.20188     1.20022 0.000985754
          49     1.19289     1.20007 0.000976908
          50     1.20798     1.20023 0.000970091
          51     1.20009     1.20022 0.000951073
          52      1.2011     1.20024 0.000932931
          53     1.19826      1.2002 0.000916074
          54     1.20295     1.20025 0.000900516
          55     1.20677     1.20037 0.000891891
          56     1.19587     1.20029 0.000879574
          57      1.2049     1.20037 0.000867845
          58     1.19938     1.20036 0.000853051
          59     1.19728      1.2003 0.000840185
          60     1.20398     1.20037 0.000828414
          61      1.1952     1.20028 0.000819149
          62     1.19325     1.20017 0.000813751
          63     1.20939     1.20031 0.000813894
          64     1.19327      1.2002 0.000808574
          65     1.21449     1.20042 0.000825455
          66     1.19289     1.20031 0.000820809
          67     1.21001     1.20045 0.000821217
          68     1.20178     1.20047 0.000809372
          69     1.20163     1.20049 0.000797815
          70     1.19594     1.20043 0.000789064
          71     1.20316     1.20046  0.00077889
          72     1.19219     1.20035 0.000776508
          73      1.1954     1.20028 0.000768824
          74     1.20809     1.20039 0.000765651
          75     1.19531     1.20032 0.000758424
          76     1.20363     1.20036 0.000749693
          77     1.19972     1.20035 0.000740003
          78     1.19356     1.20027 0.000735617
          79     1.19388     1.20019 0.000730738
          80     1.20477     1.20024 0.000723844
          81     1.19063     1.20012 0.000724571
          82     1.21169     1.20027 0.000729341
          83     1.19705     1.20023 0.000721585
          84     1.19273     1.20014 0.000718497
          85     1.20127     1.20015 0.000710169
          86     1.19992     1.20015 0.000701916
          87     1.20126     1.20016 0.000693963
          88     1.18707     1.20001  0.00070183
          89       1.213     1.20016 0.000708955
          90      1.1979     1.20013 0.000701521
          91     1.20452     1.20018 0.000695463
          92     1.18983     1.20007  0.00069695
          93     1.19785     1.20005 0.000689864
          94      1.1954         1.2  0.00068429
          95     1.18563     1.19984  0.00069359
          96     1.20924     1.19994 0.000693235
          97      1.1853     1.19979 0.000702332
          98     1.21165     1.19991 0.000705506
          99     1.19201     1.19983 0.000702881
         100     1.20415     1.19988 0.000697179
