#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65232    -6.65232           0
           2      -6.662    -6.65716  0.00341999
           3    -6.66393    -6.65942  0.00293088
           4    -6.66331    -6.66039  0.00235457
           5    -6.66778    -6.66187   0.0023008
           6    -6.66494    -6.66238  0.00197357
           7     -6.6527      -6.661  0.00212122
           8    -6.66338    -6.66129  0.00187681
           9    -6.66195    -6.66137  0.00166967
          10    -6.67272     -6.6625  0.00184878
          11    -6.63883    -6.66035  0.00265201
          12    -6.67681    -6.66172  0.00276296
          13    -6.67532    -6.66277  0.00274127
          14     -6.6479    -6.66171  0.00274343
          15    -6.66824    -6.66214  0.00259487
          16    -6.65998    -6.66201   0.0024362
          17    -6.64964    -6.66128  0.00239908
          18    -6.67232    -6.66189  0.00234292
          19    -6.65788    -6.66168  0.00222912
          20    -6.65446    -6.66132  0.00214671
          21    -6.66061    -6.66129  0.00204475
          22     -6.6578    -6.66113  0.00195792
          23    -6.66736     -6.6614  0.00189145
          24    -6.67027    -6.66177  0.00184837
          25    -6.65993    -6.66169  0.00177589
          26    -6.66384    -6.66178   0.0017095
          27    -6.65537    -6.66154  0.00166256
          28    -6.66288    -6.66159  0.00160387
          29    -6.66368    -6.66166  0.00155018
          30    -6.66262    -6.66169  0.00149884
          31    -6.65752    -6.66156  0.00145653
          32    -6.65893    -6.66148  0.00141332
          33    -6.66447    -6.66157  0.00137341
          34    -6.66031    -6.66153  0.00133352
          35    -6.66452    -6.66161  0.00129815
          36    -6.66633    -6.66175  0.00126868
          37    -6.66268    -6.66177  0.00123464
          38    -6.66818    -6.66194  0.00121362
          39     -6.6545    -6.66175  0.00119738
          40    -6.66656    -6.66187  0.00117346
          41    -6.66309     -6.6619  0.00114522
          42    -6.65347     -6.6617   0.0011354
          43    -6.66302    -6.66173  0.00110941
          44    -6.66129    -6.66172  0.00108424
          45     -6.6615    -6.66171  0.00106016
          46    -6.66614    -6.66181  0.00104147
          47    -6.66074    -6.66179  0.00101957
          48    -6.66286    -6.66181 0.000998571
          49    -6.65334    -6.66164 0.000993027
          50    -6.66994     -6.6618 0.000986941
          51    -6.66201    -6.66181 0.000967598
          52    -6.66319    -6.66183 0.000949358
          53    -6.65851    -6.66177  0.00093352
          54    -6.66417    -6.66182 0.000917287
          55    -6.66956    -6.66196 0.000911358
          56    -6.65817    -6.66189  0.00089759
          57    -6.66785    -6.66199 0.000887918
          58    -6.66123    -6.66198 0.000872707
          59    -6.65762    -6.66191 0.000861034
          60    -6.66619    -6.66198 0.000849632
          61     -6.6566    -6.66189 0.000840259
          62    -6.65556    -6.66179 0.000832886
          63    -6.67061    -6.66193 0.000831365
          64     -6.6563    -6.66184 0.000823006
          65    -6.67637    -6.66206 0.000840145
          66    -6.65342    -6.66193 0.000837566
          67    -6.67235    -6.66209 0.000839386
          68    -6.66394    -6.66211 0.000827485
          69    -6.66333    -6.66213 0.000815679
          70    -6.65631    -6.66205 0.000808259
          71    -6.66454    -6.66208 0.000797634
          72    -6.65464    -6.66198 0.000793234
          73    -6.65635     -6.6619 0.000786115
          74    -6.66859    -6.66199  0.00078067
          75     -6.6567    -6.66192 0.000773449
          76    -6.66516    -6.66197 0.000764447
          77     -6.6599    -6.66194  0.00075499
          78    -6.65589    -6.66186 0.000749289
          79    -6.65559    -6.66178 0.000743999
          80    -6.66656    -6.66184 0.000737088
          81    -6.65341    -6.66174 0.000735305
          82    -6.67275    -6.66187 0.000738491
          83     -6.6583    -6.66183 0.000730845
          84    -6.65445    -6.66174 0.000727399
          85     -6.6612    -6.66173 0.000718869
          86    -6.66118    -6.66173 0.000710539
          87    -6.66284    -6.66174 0.000702488
          88    -6.64733    -6.66158 0.000713326
          89    -6.67325    -6.66171 0.000717275
          90    -6.65926    -6.66168 0.000709821
          91    -6.66646    -6.66173 0.000703963
          92     -6.6514    -6.66162 0.000705216
          93    -6.65899    -6.66159 0.000698201
          94    -6.65541    -6.66153 0.000693863
          95    -6.64601    -6.66136 0.000705522
          96    -6.66902    -6.66144  0.00070266
          97    -6.64554    -6.66128 0.000714289
          98    -6.67455    -6.66142 0.000719712
          99    -6.65339    -6.66133 0.000716996
         100    -6.66672    -6.66139 0.000711842
