#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.65687     9.65687           0
           2     9.61534      9.6361    0.014686
           3     9.60624     9.62615   0.0127241
           4     9.61304     9.62287   0.0099566
           5     9.58213     9.61472   0.0107966
           6     9.60274     9.61273  0.00918004
           7     9.63548     9.61598  0.00842424
           8     9.57038     9.61028  0.00909712
           9     9.60432     9.60961   0.0081104
          10     9.55082     9.60373  0.00918668
          11      9.7137     9.61373   0.0126731
          12     9.55214      9.6086   0.0126137
          13        9.54     9.60332   0.0126994
          14     9.65656     9.60712   0.0123486
          15     9.58387     9.60557   0.0116222
          16     9.62485     9.60678   0.0109581
          17     9.67237     9.61064   0.0109718
          18     9.54581     9.60704   0.0109374
          19     9.60828      9.6071    0.010362
          20     9.63127     9.60831  0.00991406
          21      9.6169     9.60872  0.00945039
          22     9.61691     9.60909  0.00902815
          23     9.57095     9.60743  0.00878659
          24     9.56875     9.60582  0.00856705
          25     9.62017      9.6064  0.00824356
          26     9.60596     9.60638  0.00792652
          27     9.63715     9.60752  0.00771443
          28     9.59037     9.60691  0.00746317
          29     9.59841     9.60661  0.00721157
          30     9.58045     9.60574  0.00702372
          31     9.61368       9.606  0.00680181
          32     9.62535      9.6066  0.00661608
          33     9.58299     9.60589  0.00645418
          34     9.61721     9.60622  0.00627294
          35     9.61683     9.60652  0.00610104
          36     9.59433     9.60618  0.00594096
          37     9.60915     9.60626  0.00578093
          38     9.61043     9.60637  0.00562985
          39     9.65422      9.6076  0.00561757
          40     9.60368      9.6075  0.00547799
          41     9.62317     9.60788  0.00535769
          42     9.64848     9.60885  0.00531662
          43     9.58291     9.60825  0.00522709
          44     9.61661     9.60844  0.00511175
          45     9.60866     9.60844  0.00499815
          46     9.57192     9.60765  0.00495215
          47     9.60197     9.60753  0.00484826
          48     9.58871     9.60714  0.00476308
          49     9.63509     9.60771   0.0046999
          50     9.56706     9.60689  0.00467566
          51     9.62326     9.60721  0.00459499
          52     9.58968     9.60688  0.00451898
          53     9.61703     9.60707  0.00443777
          54     9.61288     9.60718   0.0043569
          55     9.59962     9.60704  0.00427985
          56     9.63048     9.60746  0.00422385
          57     9.58968     9.60715  0.00416124
          58     9.62113     9.60739  0.00409648
          59     9.64153     9.60797  0.00406772
          60     9.58851     9.60764  0.00401283
          61     9.64533     9.60826  0.00399432
          62     9.67528     9.60934  0.00407355
          63     9.56686     9.60867  0.00406432
          64     9.63798     9.60912  0.00402654
          65     9.56118     9.60839   0.0040316
          66     9.66257     9.60921  0.00405323
          67     9.58154     9.60879  0.00401372
          68     9.59442     9.60858  0.00396025
          69      9.6253     9.60883  0.00391026
          70     9.60667     9.60879  0.00385452
          71     9.58165     9.60841  0.00381915
          72     9.63901     9.60884  0.00378967
          73     9.63952     9.60926    0.003761
          74     9.56192     9.60862  0.00376418
          75     9.61922     9.60876  0.00371664
          76     9.56428     9.60817  0.00371354
          77     9.61866     9.60831  0.00366781
          78     9.63045     9.60859  0.00363175
          79     9.62612     9.60882  0.00359255
          80     9.57453     9.60839   0.0035731
          81     9.65622     9.60898  0.00357746
          82     9.53742      9.6081  0.00363872
          83     9.64364     9.60853  0.00361998
          84     9.65569     9.60909  0.00362015
          85     9.58474     9.60881  0.00358888
          86     9.60834      9.6088  0.00354715
          87     9.60014      9.6087  0.00350778
          88     9.67381     9.60944  0.00354507
          89     9.53121     9.60856  0.00361256
          90      9.6096     9.60858  0.00357244
          91     9.57831     9.60824  0.00354863
          92     9.63561     9.60854  0.00352251
          93     9.60821     9.60854  0.00348464
          94     9.59106     9.60835  0.00345252
          95     9.66855     9.60898  0.00347384
          96     9.56882     9.60857  0.00346276
          97     9.68274     9.60933  0.00351048
          98     9.53937     9.60862   0.0035465
          99     9.63147     9.60885  0.00351818
         100     9.56651     9.60842  0.00350838
