#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.792655    0.792655           0
           2    0.800093    0.796374  0.00262946
           3     0.80037    0.797706  0.00206292
           4    0.800786    0.798476  0.00168477
           5    0.803869    0.799555  0.00165748
           6    0.802831    0.800101  0.00146846
           7    0.794298    0.799272   0.0014742
           8      0.8014    0.799538  0.00131372
           9    0.800863    0.799685  0.00117597
          10    0.807146    0.800431  0.00127324
          11    0.784284    0.798963  0.00181621
          12    0.809049    0.799804  0.00184914
          13    0.808958    0.800508   0.0018361
          14    0.791713     0.79988  0.00180924
          15    0.804435    0.800183  0.00171392
          16    0.798999    0.800109   0.0016084
          17    0.792241    0.799647  0.00157898
          18    0.806656    0.800036  0.00153852
          19    0.797801    0.799918  0.00146204
          20     0.79505    0.799675  0.00140905
          21    0.799186    0.799652  0.00134215
          22    0.798403    0.799595  0.00128234
          23    0.804231    0.799796  0.00124233
          24     0.80626    0.800066   0.0012194
          25    0.798407    0.799999  0.00117243
          26     0.80121    0.800046  0.00112826
          27    0.796616    0.799919   0.0010936
          28    0.801525    0.799976  0.00105605
          29    0.801022    0.800012  0.00102025
          30    0.800888    0.800042  0.00098666
          31    0.797188    0.799949 0.000959117
          32    0.798548    0.799906 0.000930144
          33    0.802297    0.799978 0.000904775
          34    0.799586    0.799967 0.000878238
          35    0.801038    0.799997 0.000853679
          36    0.802609     0.80007 0.000833043
          37    0.800499    0.800081 0.000810609
          38    0.804512    0.800198 0.000797618
          39    0.795605     0.80008 0.000785812
          40    0.803118    0.800156 0.000769827
          41    0.801012    0.800177 0.000751334
          42    0.794266    0.800036 0.000746511
          43    0.801749    0.800076 0.000730213
          44    0.800068    0.800076 0.000713617
          45     0.80059    0.800087  0.00069785
          46    0.802679    0.800144 0.000684951
          47    0.799114    0.800122 0.000670728
          48    0.801255    0.800145  0.00065717
          49    0.795262    0.800046 0.000651272
          50    0.805318    0.800151 0.000646727
          51    0.800062    0.800149 0.000634049
          52     0.80073    0.800161 0.000621954
          53    0.798842    0.800136 0.000610716
          54    0.801964     0.80017 0.000600344
          55     0.80451    0.800249 0.000594594
          56     0.79725    0.800195 0.000586383
          57    0.803265    0.800249 0.000578563
          58    0.799587    0.800237 0.000568701
          59    0.798186    0.800203 0.000560124
          60    0.802654    0.800243 0.000552276
          61      0.7968    0.800187 0.000546099
          62    0.795499    0.800111 0.000542501
          63    0.806259    0.800209 0.000542596
          64    0.795516    0.800136 0.000539049
          65    0.809658    0.800282 0.000550304
          66    0.795258    0.800206 0.000547206
          67     0.80667    0.800303 0.000547478
          68    0.801187    0.800316 0.000539581
          69    0.801087    0.800327 0.000531877
          70    0.797292    0.800283 0.000526042
          71    0.802107    0.800309  0.00051926
          72    0.794791    0.800232 0.000517672
          73    0.796933    0.800187  0.00051255
          74    0.805396    0.800258 0.000510434
          75    0.796875    0.800213 0.000505616
          76    0.802418    0.800242 0.000499795
          77    0.799814    0.800236 0.000493335
          78     0.79571    0.800178 0.000490412
          79    0.795919    0.800124 0.000487159
          80    0.803178    0.800162 0.000482563
          81    0.793754    0.800083 0.000483047
          82    0.807796    0.800177 0.000486228
          83    0.798031    0.800151 0.000481057
          84    0.795151    0.800092 0.000478998
          85    0.800849    0.800101 0.000473446
          86     0.79995    0.800099 0.000467944
          87    0.800837    0.800107 0.000462642
          88    0.791383    0.800008 0.000467887
          89    0.808667    0.800106 0.000472637
          90    0.798601    0.800089 0.000467681
          91    0.803011    0.800121 0.000463642
          92    0.793219    0.800046 0.000464633
          93    0.798567     0.80003 0.000459909
          94    0.796935    0.799997 0.000456194
          95    0.790421    0.799896 0.000462393
          96    0.806159    0.799962 0.000462156
          97      0.7902    0.799861 0.000468221
          98    0.807764    0.799942 0.000470338
          99    0.794673    0.799888 0.000468587
         100    0.802769    0.799917 0.000464786
