#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46334    -5.46334           0
           2    -5.46186     -5.4626   0.0005242
           3    -5.46337    -5.46286 0.000407889
           4    -5.46213    -5.46268 0.000343556
           5    -5.46197    -5.46253 0.000302298
           6    -5.46069    -5.46223 0.000376697
           7    -5.46126    -5.46209 0.000347563
           8    -5.46128    -5.46199 0.000318637
           9    -5.46065    -5.46184 0.000315906
          10      -5.462    -5.46186 0.000284725
          11    -5.46241    -5.46191 0.000263244
          12    -5.46323    -5.46202 0.000263557
          13    -5.46188    -5.46201 0.000243486
          14    -5.46033    -5.46189 0.000253723
          15    -5.46159    -5.46187 0.000237597
          16    -5.46148    -5.46184 0.000223955
          17    -5.46128    -5.46181 0.000213246
          18    -5.46234    -5.46184 0.000203411
          19    -5.46117     -5.4618 0.000195688
          20    -5.46188    -5.46181 0.000185945
          21    -5.46184    -5.46181 0.000177095
          22     -5.4602    -5.46174 0.000183535
          23    -5.46101     -5.4617 0.000178232
          24    -5.46088    -5.46167 0.000174109
          25    -5.46232     -5.4617 0.000169082
          26    -5.46202    -5.46171 0.000163043
          27    -5.46045    -5.46166 0.000163544
          28    -5.46059    -5.46162 0.000162119
          29    -5.46214    -5.46164 0.000157516
          30    -5.46129    -5.46163 0.000152696
          31    -5.46174    -5.46163 0.000147808
          32    -5.46111    -5.46162 0.000144087
          33    -5.46103     -5.4616 0.000140814
          34    -5.46093    -5.46158 0.000138049
          35    -5.46296    -5.46162  0.00013962
          36    -5.46242    -5.46164 0.000137491
          37    -5.46193    -5.46165 0.000133995
          38    -5.46141    -5.46164 0.000130611
          39     -5.4611    -5.46163 0.000128009
          40    -5.46188    -5.46163 0.000124962
          41    -5.46157    -5.46163 0.000121925
          42    -5.46207    -5.46164 0.000119468
          43     -5.4604    -5.46161 0.000120153
          44    -5.46119     -5.4616 0.000117807
          45    -5.46062    -5.46158 0.000117216
          46    -5.46212    -5.46159 0.000115257
          47    -5.46206     -5.4616 0.000113238
          48    -5.46098    -5.46159 0.000111626
          49    -5.46045    -5.46157 0.000111749
          50    -5.46196    -5.46158 0.000109786
          51    -5.46192    -5.46158 0.000107841
          52     -5.4621    -5.46159  0.00010622
          53    -5.46024    -5.46157  0.00010723
          54    -5.46122    -5.46156 0.000105435
          55     -5.4628    -5.46158 0.000105882
          56    -5.46229     -5.4616 0.000104748
          57    -5.46295    -5.46162 0.000105585
          58    -5.46185    -5.46162 0.000103839
          59    -5.46034     -5.4616  0.00010432
          60     -5.4622    -5.46161 0.000103063
          61     -5.4614    -5.46161 0.000101431
          62    -5.46231    -5.46162 0.000100426
          63    -5.46122    -5.46161 9.90283e-05
          64    -5.46303    -5.46164 9.99175e-05
          65    -5.46188    -5.46164 9.84508e-05
          66    -5.46053    -5.46162 9.83836e-05
          67    -5.46235    -5.46163 9.75102e-05
          68    -5.46216    -5.46164 9.63847e-05
          69     -5.4617    -5.46164 9.49911e-05
          70    -5.46037    -5.46162  9.5358e-05
          71    -5.46138    -5.46162 9.40784e-05
          72    -5.46245    -5.46163 9.34743e-05
          73    -5.46095    -5.46162 9.26655e-05
          74     -5.4605    -5.46161 9.26522e-05
          75    -5.46138     -5.4616 9.14649e-05
          76    -5.46154     -5.4616 9.02657e-05
          77    -5.46018    -5.46159 9.09709e-05
          78    -5.46232    -5.46159 9.02917e-05
          79    -5.46171     -5.4616  8.9161e-05
          80    -5.46179     -5.4616 8.80788e-05
          81    -5.46278    -5.46161 8.81862e-05
          82    -5.46105    -5.46161 8.73757e-05
          83    -5.46126     -5.4616 8.64251e-05
          84    -5.46173     -5.4616 8.54091e-05
          85    -5.45993    -5.46158 8.66488e-05
          86    -5.46125    -5.46158 8.57259e-05
          87    -5.46159    -5.46158 8.47406e-05
          88    -5.46026    -5.46157 8.50948e-05
          89    -5.46025    -5.46155 8.54054e-05
          90    -5.46136    -5.46155 8.44827e-05
          91    -5.46195    -5.46155 8.36683e-05
          92    -5.46157    -5.46155 8.27592e-05
          93    -5.46114    -5.46155 8.19884e-05
          94    -5.46001    -5.46153 8.27341e-05
          95    -5.46038    -5.46152 8.27488e-05
          96    -5.45978     -5.4615 8.38566e-05
          97    -5.46024    -5.46149 8.39938e-05
          98     -5.4629     -5.4615  8.4361e-05
          99    -5.46138     -5.4615 8.35184e-05
         100    -5.46256    -5.46151 8.33527e-05
