#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.909248        0.909248               0
               2        0.934878        0.922063      0.00906157
               3        0.929242        0.924456      0.00634917
               4        0.931992         0.92634      0.00503364
               5        0.917664        0.924605      0.00431564
               6        0.882644        0.917611      0.00732741
               7        0.923458        0.918447      0.00632807
               8        0.740412        0.896192       0.0215408
               9        0.926922        0.899607       0.0194161
              10        0.894476        0.899094       0.0174813
              11        0.937438        0.902579       0.0162359
              12        0.955444        0.906985        0.015469
              13        0.926462        0.908483       0.0143515
              14        0.948022        0.911307       0.0136014
              15         0.87439        0.908846       0.0129154
              16        0.943418        0.911007       0.0122876
              17         0.89684        0.910174        0.011593
              18        0.785986        0.903274       0.0128389
              19        0.876614        0.901871       0.0122396
              20        0.910828        0.902319       0.0116358
