#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.135626        0.135626               0
               2        0.137766        0.136696     0.000756604
               3        0.136862        0.136751     0.000506422
               4        0.148888        0.139785      0.00265497
               5        0.149606         0.14175      0.00275635
               6         0.14954        0.143048      0.00258474
               7        0.144436        0.143246      0.00222308
               8        0.138898        0.142703      0.00201055
               9        0.125688        0.140812      0.00252406
              10         0.16517        0.143248      0.00324039
              11        0.146216        0.143518      0.00295702
              12        0.134408        0.142759      0.00280636
              13        0.151288        0.143415      0.00266608
              14         0.13907        0.143104      0.00249364
              15         0.15058        0.143603      0.00237668
              16          0.1573        0.144459      0.00237732
              17        0.141946        0.144311      0.00224207
              18        0.148632        0.144551      0.00213032
              19        0.145834        0.144619      0.00201927
              20        0.155628        0.145169      0.00199192
