#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200476    0.200476           0
           2    0.200917    0.200696 0.000155713
           3    0.192511    0.197968  0.00223022
           4    0.195161    0.197266  0.00177967
           5    0.194598    0.196732   0.0015016
           6    0.200735    0.197399  0.00139161
           7    0.194961    0.197051  0.00123563
           8    0.199885    0.197405  0.00113083
           9     0.19872    0.197552  0.00101457
          10    0.197967    0.197593 0.000913967
          11    0.194855    0.197344 0.000864112
          12    0.195114    0.197158 0.000811849
          13    0.195976    0.197067 0.000754474
          14    0.194294    0.196869 0.000726132
          15    0.198261    0.196962 0.000683625
          16    0.199517    0.197122 0.000659283
          17    0.199801    0.197279 0.000639066
          18    0.200325    0.197448 0.000625558
          19    0.196334     0.19739 0.000595378
          20    0.193162    0.197178 0.000601971
