#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.289271    0.289271           0
           2    0.340861    0.315066   0.0182399
           3    0.374983    0.335038   0.0203419
           4    0.315699    0.330203   0.0158205
           5    0.332492    0.330661   0.0126631
           6    0.353285    0.334432   0.0110997
           7    0.350959    0.336793  0.00976196
           8    0.346597    0.338018  0.00861829
           9    0.285674    0.332202  0.00942091
          10     0.28336    0.327318  0.00966233
          11    0.285368    0.323504  0.00950679
          12    0.351023    0.325798  0.00898688
          13    0.307943    0.324424  0.00839987
          14    0.380921     0.32846   0.0087155
          15    0.261291    0.323982  0.00921329
          16    0.253083    0.319551  0.00964436
          17    0.343505     0.32096   0.0091794
          18    0.318689    0.320834   0.0086703
          19    0.355301    0.322648  0.00840161
          20    0.345677    0.323799  0.00806005
