#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.19454     7.19454           0
           2     7.47647     7.33551   0.0996766
           3     7.15764     7.27622   0.0822145
           4     7.18384     7.25312   0.0648235
           5        7.57      7.3165    0.076827
           6      7.2098     7.29872   0.0660486
           7     7.36862      7.3087    0.057363
           8     7.37452     7.31693   0.0507792
           9     7.74106     7.36405   0.0633358
          10     6.66609     7.29426   0.0873709
          11     7.47249     7.31046   0.0809165
          12     7.25984     7.30624   0.0742834
          13     7.38881     7.31259   0.0688403
          14     7.54428     7.32914   0.0658822
          15     7.03569     7.30958   0.0643292
          16     7.68158     7.33283   0.0643733
          17      7.2662     7.32891   0.0607059
          18     7.08731     7.31549   0.0587985
          19     7.34391     7.31698   0.0557228
          20     6.48722      7.2755   0.0666146
