#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.49696     7.49696           0
           2     7.29433     7.39564   0.0716398
           3     7.80997     7.53375    0.122463
           4      7.6792     7.57012   0.0970961
           5     7.53382     7.56286   0.0779477
           6     7.47695     7.54854   0.0662583
           7      6.9963     7.46965   0.0925206
           8     7.55532     7.48036    0.081573
           9     7.41165     7.47272   0.0728657
          10     7.55031     7.48048   0.0659909
          11     7.44901     7.47762   0.0600537
          12     7.37928     7.46943   0.0556056
          13     7.21175     7.44961   0.0547471
          14     7.58498     7.45928   0.0516835
          15     7.72178     7.47678   0.0511149
          16     7.46831     7.47625   0.0479229
          17     7.28126     7.46478   0.0464563
          18     7.57748     7.47104   0.0442953
          19     7.56066     7.47575   0.0422144
          20     7.40612     7.47227    0.040247
