#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461196   -0.461196           0
           2   -0.458888   -0.460042 0.000816001
           3     -0.4637   -0.461261  0.00113451
           4   -0.461864   -0.461412 0.000860831
           5   -0.462652    -0.46166 0.000723507
           6   -0.462288   -0.461765 0.000610446
           7   -0.462168   -0.461822 0.000525952
           8   -0.461804    -0.46182 0.000460213
           9    -0.46288   -0.461938 0.000423881
          10   -0.459712   -0.461715 0.000436032
          11   -0.463312    -0.46186 0.000419862
          12   -0.464004   -0.462039 0.000421164
          13   -0.462364   -0.462064 0.000389508
          14   -0.461148   -0.461999  0.00036714
          15   -0.461472   -0.461963 0.000344338
          16   -0.463952   -0.462088 0.000344517
          17   -0.461224   -0.462037 0.000327976
          18    -0.46168   -0.462017 0.000310354
          19   -0.463176   -0.462078 0.000299954
          20   -0.460988   -0.462024 0.000289866
