#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.517184   -0.517184           0
           2    -0.51426   -0.515722  0.00103379
           3   -0.518064   -0.516503 0.000938766
           4   -0.516876   -0.516596 0.000708699
           5     -0.5157   -0.516417  0.00058918
           6   -0.514872   -0.516159 0.000544339
           7    -0.51868   -0.516519 0.000573444
           8   -0.515588   -0.516403 0.000513447
           9   -0.514884   -0.516234 0.000483342
          10    -0.51502   -0.516113 0.000450001
          11   -0.514256   -0.515944 0.000439612
          12   -0.518368   -0.516146 0.000446984
          13   -0.515764   -0.516117 0.000413566
          14   -0.515324    -0.51606 0.000387881
          15   -0.516832   -0.516111 0.000365421
          16   -0.517396   -0.516192 0.000351291
          17   -0.516512   -0.516211 0.000331131
          18   -0.517024   -0.516256 0.000315803
          19     -0.5179   -0.516342 0.000310813
          20   -0.517204   -0.516385 0.000298243
