#   N_BLOCK:  ACCEPTANCE:
           1    0.629083
           2     0.63042
           3    0.630323
           4    0.630536
           5    0.630701
           6    0.631224
           7    0.631004
           8    0.631066
           9    0.631399
          10    0.631364
          11    0.631185
          12    0.631385
          13    0.631254
          14    0.631229
          15    0.631122
          16    0.631108
          17    0.630878
          18    0.630903
          19    0.630797
          20    0.630659
          21    0.630482
          22    0.630429
          23    0.630419
          24    0.630445
          25    0.630412
          26    0.630412
          27     0.63043
          28    0.630491
          29    0.630477
          30    0.630457
          31    0.630424
          32    0.630354
          33     0.63039
          34     0.63035
          35     0.63036
          36     0.63043
          37    0.630451
          38    0.630432
          39    0.630479
          40    0.630459
          41     0.63048
          42    0.630501
          43    0.630549
          44    0.630496
          45    0.630545
          46    0.630512
          47    0.630542
          48    0.630505
          49    0.630517
          50    0.630492
