# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.064633               0               0
0.129266               0               0
0.193899               0               0
0.258532               0               0
0.323165               0               0
0.387798               0               0
0.452431               0               0
0.517064               0               0
0.581697               0               0
0.64633               0               0
0.710963               0               0
0.775596               0               0
0.84023     0.000757294     8.33428e-05
0.904863        0.130143      0.00102632
0.969496        0.936743      0.00311405
1.03413         1.80506      0.00482709
1.09876         2.03238      0.00538377
1.16339         1.88153      0.00397476
1.22803         1.65626      0.00354951
1.29266         1.46981      0.00313971
1.35729         1.32793      0.00276372
1.42193         1.22327      0.00226071
1.48656         1.14887      0.00207951
1.55119         1.09394      0.00248561
1.61583          1.0583      0.00188373
1.68046         1.03279      0.00148524
1.74509         1.01408      0.00187611
1.80973         1.00358      0.00158839
1.87436         0.99526      0.00124402
1.93899        0.992178      0.00180658
2.00362        0.993223      0.00173045
2.06826         0.99214      0.00117573
2.13289        0.991584      0.00122457
2.19752        0.989757      0.00130017
2.26216        0.984589      0.00119216
2.32679        0.983369      0.00132326
2.39142         0.97733      0.00131128
2.45606        0.974862      0.00120198
2.52069        0.971557      0.00113555
2.58532        0.969806      0.00120717
2.64995        0.966504      0.00107698
2.71459        0.964711     0.000982671
2.77922        0.962134       0.0010943
2.84385          0.9615      0.00117582
2.90849        0.958607     0.000894666
2.97312        0.958413     0.000859687
3.03775        0.958206      0.00106263
3.10239        0.958302     0.000855465
3.16702        0.958522     0.000948616
3.23165         0.95899     0.000728287
3.29629        0.958083     0.000972865
3.36092        0.957765     0.000702852
3.42555        0.956225     0.000853417
3.49018        0.957284     0.000543935
3.55482        0.957762     0.000879409
3.61945        0.957248     0.000849156
3.68408        0.957595     0.000765212
3.74872        0.956021      0.00075503
3.81335        0.957413     0.000743106
3.87798        0.958499      0.00062905
3.94262        0.957539     0.000695458
4.00725        0.959606     0.000708873
4.07188        0.959255     0.000800458
4.13651        0.958408      0.00064323
4.20115        0.958896      0.00078855
4.26578        0.957596     0.000611541
4.33041        0.958925     0.000803976
4.39505        0.959251     0.000696002
4.45968        0.959785     0.000636532
4.52431         0.95921     0.000635136
4.58895        0.959695     0.000610919
4.65358        0.960271     0.000645783
4.71821         0.96043     0.000586768
4.78285        0.960632     0.000630019
4.84748        0.961772      0.00059094
4.91211        0.961256     0.000646616
4.97674        0.961537     0.000562566
5.04138         0.96176     0.000581173
5.10601        0.962724     0.000629324
5.17064        0.961652      0.00060704
5.23528        0.963719     0.000495983
5.29991        0.963185     0.000525071
5.36454        0.963298     0.000555175
5.42918        0.963521     0.000544809
5.49381        0.963255     0.000585072
5.55844        0.964215     0.000510353
5.62307        0.963761     0.000533639
5.68771         0.96385     0.000505157
5.75234        0.964429     0.000463041
5.81697          0.9644     0.000430948
5.88161        0.964999     0.000511208
5.94624        0.965095     0.000487081
6.01087        0.965492      0.00049367
6.07551        0.965131     0.000392058
6.14014        0.965144     0.000412024
6.20477        0.965414     0.000421247
6.2694        0.966223      0.00033898
6.33404        0.966612     0.000454493
6.39867        0.966181     0.000436408
