# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.064633               0               0
0.129266               0               0
0.193899               0               0
0.258532               0               0
0.323165               0               0
0.387798               0               0
0.452431               0               0
0.517064               0               0
0.581697               0               0
0.64633               0               0
0.710963               0               0
0.775596               0               0
0.84023     0.000998553     0.000421343
0.904863        0.133185      0.00553281
0.969496        0.959844       0.0227507
1.03413         1.67132        0.040319
1.09876         1.79939       0.0405827
1.16339         1.68713       0.0361149
1.22803         1.54207       0.0340059
1.29266         1.40795       0.0314877
1.35729         1.26993       0.0298232
1.42193         1.15221       0.0265951
1.48656          1.1045       0.0232452
1.55119         1.03434       0.0192972
1.61583         1.00644       0.0215594
1.68046        0.981598       0.0195041
1.74509        0.988083       0.0193712
1.80973        0.969337       0.0168803
1.87436        0.970498       0.0165927
1.93899        0.986764       0.0174501
2.00362        0.966074       0.0173986
2.06826        0.957975       0.0167344
2.13289        0.976869       0.0151802
2.19752        0.982754       0.0160247
2.26216        0.980766       0.0142092
2.32679        0.982213       0.0150493
2.39142        0.989302        0.016367
2.45606        0.971546       0.0141062
2.52069        0.970817       0.0122414
2.58532        0.974629        0.013528
2.64995        0.994308       0.0129911
2.71459        0.971606       0.0112774
2.77922        0.969442       0.0117592
2.84385         0.97034      0.00986986
2.90849        0.962406       0.0100927
2.97312        0.959819       0.0102284
3.03775        0.954455      0.00949751
3.10239         0.96121      0.00822268
3.16702        0.954393      0.00886138
3.23165        0.952345      0.00863066
3.29629        0.959489      0.00917827
3.36092        0.958747      0.00830761
3.42555        0.950496      0.00916116
3.49018        0.947028       0.0103857
3.55482        0.947888      0.00816567
3.61945        0.955567      0.00821165
3.68408        0.950636      0.00868784
3.74872         0.94998      0.00826793
3.81335        0.961098      0.00826687
3.87798        0.960163      0.00825511
3.94262        0.953526      0.00905248
4.00725        0.951549      0.00776684
4.07188         0.96224      0.00803434
4.13651        0.958691      0.00856612
4.20115        0.953101       0.0087168
4.26578        0.957532      0.00822631
4.33041        0.966036      0.00664257
4.39505        0.965713      0.00640054
4.45968        0.964041      0.00588378
4.52431        0.957769      0.00645234
4.58895        0.955093      0.00669952
4.65358        0.961671      0.00655407
4.71821        0.962676      0.00696235
4.78285        0.963112      0.00607295
4.84748        0.962477      0.00600711
4.91211        0.968461      0.00582635
4.97674        0.970913      0.00580447
5.04138        0.975268      0.00572029
5.10601         0.96346      0.00604767
5.17064        0.972772      0.00543794
5.23528        0.975813      0.00542041
5.29991        0.971184      0.00566576
5.36454        0.968541      0.00617533
5.42918         0.96374      0.00639509
5.49381        0.967911      0.00597978
5.55844        0.966399      0.00612856
5.62307        0.964941      0.00579661
5.68771        0.966113      0.00599408
5.75234        0.967667      0.00498465
5.81697        0.971648      0.00532263
5.88161         0.97548      0.00563753
5.94624        0.967341      0.00561894
6.01087        0.964331      0.00581323
6.07551        0.969288      0.00554445
6.14014         0.96937      0.00622823
6.20477        0.970626      0.00618636
6.2694        0.969274      0.00525662
6.33404        0.965091      0.00495324
6.39867        0.969632      0.00455697
