#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.57277     1.57277           0
           2     1.68024     1.62651   0.0379986
           3     1.72493     1.65931   0.0368681
           4     1.78711     1.69126   0.0391168
           5     1.79369     1.71175   0.0362627
           6      1.7772     1.72265   0.0318174
           7     1.79728     1.73332   0.0290034
           8     1.81294     1.74327   0.0270318
           9     1.78826     1.74827   0.0244862
          10     1.80027     1.75347    0.022583
          11     1.76558     1.75457   0.0205569
          12     1.73738     1.75314   0.0188936
          13     1.72146      1.7507   0.0175967
          14     1.74746     1.75047   0.0163414
          15     1.76848     1.75167    0.015296
          16     1.79665     1.75448    0.014596
          17     1.77625     1.75576   0.0137935
          18     1.79797     1.75811    0.013225
          19     1.81713     1.76121   0.0128886
          20     1.79208     1.76276   0.0123363
          21      1.7734     1.76326   0.0117592
          22     1.76874     1.76351   0.0112273
          23     1.82035     1.76598   0.0110078
          24     1.82753     1.76855   0.0108437
          25     1.83157     1.77107    0.010699
          26     1.82499     1.77314   0.0104866
          27     1.87265     1.77683   0.0107264
          28     1.84239     1.77917   0.0105958
          29     1.83768     1.78119   0.0104207
          30      1.8421     1.78322   0.0102693
          31     1.84896     1.78534   0.0101546
          32     1.82119     1.78646  0.00989889
          33     1.85418     1.78851  0.00980937
          34     1.82853     1.78969  0.00959123
          35     1.83513     1.79099  0.00940467
          36     1.83123      1.7921  0.00920963
          37     1.82581     1.79301  0.00900568
          38     1.83084     1.79401  0.00882352
          39      1.9018     1.79677   0.0090198
          40      1.8966     1.79927  0.00913301
          41     1.87682     1.80116    0.009104
          42     1.81216     1.80142    0.008891
          43     1.80316     1.80146  0.00868433
          44     1.79721     1.80137   0.0084875
          45     1.75245     1.80028  0.00836822
          46      1.7394     1.79896  0.00829028
          47     1.76728     1.79828  0.00814124
          48     1.82318      1.7988  0.00798813
          49     1.85492     1.79995  0.00790677
          50      1.8459     1.80087  0.00780186
          51     1.88088     1.80243  0.00780506
          52     1.83662     1.80309   0.0076826
          53     1.81591     1.80333  0.00754145
          54     1.82066     1.80365  0.00740862
          55     1.78683     1.80335  0.00728023
          56     1.78078     1.80295  0.00716137
          57      1.8045     1.80297  0.00703578
          58     1.79547     1.80284  0.00691567
          59     1.79281     1.80267  0.00680054
          60     1.83952     1.80329  0.00671487
          61     1.84673       1.804  0.00664246
          62     1.85919     1.80489  0.00659469
          63     1.80029     1.80482  0.00649042
          64       1.813     1.80494  0.00639026
          65     1.79641     1.80481   0.0062933
          66     1.82533     1.80512  0.00620562
          67     1.83328     1.80554  0.00612721
          68     1.78823     1.80529  0.00604239
          69     1.77436     1.80484  0.00597143
          70     1.74212     1.80395  0.00595297
          71     1.78528     1.80368  0.00587492
          72     1.81538     1.80385  0.00579557
          73     1.81903     1.80405  0.00571991
          74     1.84112     1.80455  0.00566451
          75      1.8459     1.80511  0.00561575
          76     1.83692     1.80552  0.00555743
          77     1.84698     1.80606  0.00551128
          78      1.8168      1.8062  0.00544234
          79     1.85832     1.80686  0.00541329
          80     1.83543     1.80722  0.00535738
