#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.417461   -0.417461           0
           2   -0.413917   -0.415689  0.00125312
           3   -0.414902   -0.415427 0.000862414
           4   -0.410227   -0.414127  0.00129833
           5   -0.415252   -0.414352  0.00105801
           6   -0.408107   -0.413311  0.00129618
           7     -0.4133   -0.413309  0.00111101
           8   -0.413333   -0.413312 0.000972139
           9   -0.410509   -0.413001 0.000912649
          10     -0.4152   -0.413221 0.000847456
          11   -0.414637    -0.41335 0.000780131
          12   -0.409514    -0.41303 0.000777835
          13   -0.415944   -0.413254 0.000749609
          14   -0.413529   -0.413274 0.000696322
          15   -0.413421   -0.413284 0.000649969
          16   -0.413287   -0.413284 0.000609346
          17   -0.417421   -0.413527 0.000620207
          18   -0.415294   -0.413625 0.000593472
          19   -0.415049     -0.4137 0.000566946
          20   -0.415773   -0.413804 0.000547991
          21   -0.419885   -0.414094   0.0005935
          22   -0.416556   -0.414205 0.000576979
          23   -0.414814   -0.414232   0.0005525
          24   -0.410675   -0.414084 0.000548998
          25   -0.414476   -0.414099 0.000527262
          26   -0.414395   -0.414111 0.000507105
          27   -0.413172   -0.414076 0.000489513
          28   -0.411576   -0.413987 0.000480105
          29   -0.416824   -0.414085 0.000473414
          30   -0.416676   -0.414171 0.000465451
          31   -0.413258   -0.414141 0.000451367
          32   -0.415322   -0.414178 0.000438768
          33   -0.414927   -0.414201 0.000426058
          34   -0.416439   -0.414267 0.000418579
          35   -0.413393   -0.414242 0.000407363
          36   -0.412318   -0.414188 0.000399539
          37   -0.415737    -0.41423 0.000390926
          38   -0.414584    -0.41424 0.000380749
          39   -0.412433   -0.414193 0.000373793
          40   -0.414467     -0.4142 0.000364511
          41   -0.413304   -0.414178 0.000356275
          42   -0.415634   -0.414213 0.000349475
          43   -0.412607   -0.414176 0.000343336
          44    -0.41752   -0.414252 0.000343842
          45   -0.412662   -0.414216  0.00033801
          46   -0.414033   -0.414212 0.000330686
          47   -0.412687    -0.41418 0.000325238
          48   -0.411938   -0.414133 0.000321798
          49    -0.41289   -0.414108 0.000316229
          50   -0.414697    -0.41412 0.000310124
