#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.153991   -0.153991           0
           2   -0.261384   -0.207687   0.0379694
           3   -0.306101   -0.240492   0.0368533
           4    -0.36832   -0.272449   0.0391141
           5   -0.374791   -0.292917   0.0362534
           6   -0.358412   -0.303833   0.0318121
           7   -0.378556   -0.314508   0.0290032
           8   -0.394152   -0.324463   0.0270325
           9   -0.369463   -0.329463    0.024487
          10   -0.381549   -0.334672   0.0225854
          11   -0.346713   -0.335767   0.0205587
          12   -0.318609   -0.334337   0.0188951
          13   -0.302609   -0.331896   0.0175986
          14   -0.328677   -0.331666    0.016343
          15   -0.349714   -0.332869   0.0152977
          16   -0.377861   -0.335681   0.0145978
          17   -0.357468   -0.336963   0.0137952
          18   -0.379196   -0.339309   0.0132268
          19   -0.398308   -0.342414     0.01289
          20   -0.373208   -0.343954   0.0123371
          21   -0.354566   -0.344459     0.01176
          22   -0.349933   -0.344708   0.0112281
          23   -0.401693   -0.347186   0.0110099
          24   -0.408803   -0.349753   0.0108463
          25   -0.412957   -0.352281   0.0107031
          26   -0.406357   -0.354361   0.0104915
          27   -0.453969    -0.35805    0.010732
          28   -0.423624   -0.360392   0.0106012
          29   -0.418746   -0.362405   0.0104248
          30   -0.423334   -0.364436   0.0102733
          31    -0.43006   -0.366552   0.0101576
          32   -0.402411   -0.367673  0.00990184
          33   -0.435329   -0.369723  0.00981173
          34   -0.409753   -0.370901  0.00959353
          35   -0.416282   -0.372197  0.00940664
          36   -0.412483   -0.373316  0.00921167
          37   -0.407023   -0.374227  0.00900764
          38   -0.412225   -0.375227  0.00882593
          39   -0.483088   -0.377993  0.00902254
          40   -0.477834   -0.380489  0.00913571
          41   -0.458008    -0.38238  0.00910643
          42   -0.393391   -0.382642  0.00889339
          43    -0.38436   -0.382682  0.00868665
          44   -0.378495   -0.382587  0.00848975
          45   -0.333646   -0.381499  0.00837046
          46   -0.320705   -0.380177  0.00829217
          47   -0.348582   -0.379505  0.00814295
          48   -0.404485   -0.380026  0.00798991
          49   -0.436136   -0.381171  0.00790849
          50   -0.427246   -0.382092  0.00780382
          51    -0.46225   -0.383664  0.00780748
          52   -0.417962   -0.384323  0.00768514
          53   -0.397205   -0.384567  0.00754398
          54   -0.401966   -0.384889  0.00741116
          55   -0.367959   -0.384581   0.0072828
          56   -0.361883   -0.384176  0.00716402
          57   -0.385709   -0.384203  0.00703838
          58     -0.3766   -0.384071  0.00691825
          59   -0.374055   -0.383902  0.00680308
          60   -0.420838   -0.384517  0.00671749
          61   -0.428019    -0.38523  0.00664511
          62   -0.440406    -0.38612  0.00659725
          63   -0.381503   -0.386047  0.00649294
          64   -0.394172   -0.386174  0.00639273
          65   -0.377649   -0.386043  0.00629573
          66   -0.406634   -0.386355  0.00620806
          67    -0.41449   -0.386775  0.00612959
          68   -0.369518   -0.386521   0.0060447
          69   -0.355576   -0.386073  0.00597371
          70   -0.323439   -0.385178  0.00595501
          71   -0.366711   -0.384918  0.00587681
          72   -0.396708   -0.385081  0.00579747
          73    -0.40047   -0.385292  0.00572188
          74   -0.422484   -0.385795  0.00566659
          75   -0.427256   -0.386348  0.00561794
          76   -0.418344   -0.386769  0.00555977
          77   -0.428373   -0.387309  0.00551376
          78   -0.398124   -0.387448  0.00544481
          79    -0.43947   -0.388106  0.00541556
          80    -0.41664   -0.388463   0.0053596
