#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0494133   0.0494133           0
           2   0.0492447    0.049329 5.96006e-05
           3   0.0489325   0.0491968 0.000115002
           4   0.0498663   0.0493642  0.00016867
           5   0.0492577   0.0493429 0.000136275
           6   0.0494742   0.0493648 0.000115306
           7   0.0494047   0.0493705 9.89754e-05
           8   0.0491368   0.0493413 9.08106e-05
           9   0.0496748   0.0493783 8.79562e-05
          10   0.0491852    0.049359 8.12529e-05
          11   0.0491499     0.04934 7.60573e-05
          12   0.0497599    0.049375 7.73496e-05
          13    0.049482   0.0493832 7.18366e-05
          14   0.0491879   0.0493693 6.80462e-05
          15    0.049335    0.049367 6.35482e-05
          16   0.0493948   0.0493687 5.96002e-05
          17   0.0490198   0.0493482 5.95233e-05
          18    0.049218    0.049341 5.66546e-05
          19   0.0492557   0.0493365 5.38501e-05
          20   0.0491234   0.0493258 5.22008e-05
          21   0.0495343   0.0493358 5.06498e-05
          22   0.0497915   0.0493565 5.24135e-05
          23   0.0491717   0.0493484 5.07468e-05
          24   0.0495303    0.049356 4.91951e-05
          25   0.0492723   0.0493527  4.7341e-05
          26   0.0493094    0.049351 4.55494e-05
          27   0.0497149   0.0493645 4.58129e-05
          28   0.0489446   0.0493495 4.65661e-05
          29     0.04914   0.0493423 4.55174e-05
          30   0.0493358    0.049342 4.40006e-05
          31   0.0491916   0.0493372 4.28482e-05
          32    0.049608   0.0493457 4.23367e-05
          33   0.0490796   0.0493376 4.18147e-05
          34   0.0494705   0.0493415 4.07672e-05
          35    0.048937   0.0493299 4.12078e-05
          36   0.0497502   0.0493416 4.16841e-05
          37   0.0492082    0.049338 4.07132e-05
          38   0.0493724   0.0493389 3.96518e-05
          39   0.0490105   0.0493305 3.95192e-05
          40    0.049202   0.0493273 3.86616e-05
          41   0.0494689   0.0493307 3.78726e-05
          42   0.0492454   0.0493287 3.70254e-05
          43   0.0491394   0.0493243 3.64251e-05
          44   0.0494049   0.0493261 3.56433e-05
          45   0.0491634   0.0493225 3.50343e-05
          46   0.0494638   0.0493256 3.44069e-05
          47   0.0494634   0.0493285 3.37995e-05
          48   0.0490466   0.0493227 3.36017e-05
          49   0.0490825   0.0493178 3.32715e-05
          50    0.049495   0.0493213 3.27943e-05
