#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0483759   0.0483759           0
           2   0.0460162    0.047196 0.000834257
           3   0.0503743   0.0482554  0.00102838
           4   0.0498486   0.0486537 0.000844897
           5   0.0464171   0.0482064 0.000785461
           6   0.0497427   0.0484624 0.000695034
           7    0.053421   0.0491708 0.000886006
           8   0.0469308   0.0488908 0.000818305
           9   0.0518149   0.0492157 0.000789252
          10   0.0509549   0.0493896 0.000729238
          11   0.0538588   0.0497959 0.000767829
          12   0.0555962   0.0502793 0.000842351
          13   0.0489654   0.0501782 0.000783594
          14   0.0491248    0.050103 0.000731227
          15   0.0486101   0.0500034 0.000689218
          16   0.0550194   0.0503169  0.00071389
          17   0.0508493   0.0503483 0.000672583
          18   0.0509489   0.0503816 0.000636044
          19   0.0561926   0.0506875  0.00067209
          20   0.0497842   0.0506423 0.000640001
          21   0.0503061   0.0506263 0.000609725
          22   0.0468103   0.0504528  0.00060618
          23   0.0524976   0.0505417 0.000586308
          24   0.0494652   0.0504969 0.000563592
          25   0.0553741    0.050692 0.000573821
          26   0.0489378   0.0506245 0.000555703
          27   0.0514079   0.0506535 0.000535878
          28   0.0506784   0.0506544  0.00051674
          29   0.0508224   0.0506602 0.000498954
          30   0.0508319   0.0506659 0.000482355
          31   0.0569183   0.0508676 0.000507212
          32   0.0516881   0.0508933  0.00049201
          33   0.0504066   0.0508785 0.000477321
          34   0.0517725   0.0509048 0.000464006
          35   0.0509048   0.0509048 0.000450749
          36   0.0492116   0.0508578 0.000440675
          37   0.0522116   0.0508944 0.000430281
          38   0.0535623   0.0509646 0.000424647
          39   0.0508783   0.0509624 0.000413765
          40   0.0497859   0.0509329 0.000404464
          41   0.0544383   0.0510184 0.000403535
          42   0.0528281   0.0510615  0.00039622
          43   0.0496668   0.0510291 0.000388331
          44   0.0476248   0.0509517 0.000387136
          45   0.0531047   0.0509996 0.000381478
          46   0.0511943   0.0510038 0.000373209
          47   0.0468973   0.0509164 0.000375357
          48   0.0512222   0.0509228 0.000367591
          49   0.0498152   0.0509002 0.000360783
          50   0.0519196   0.0509206 0.000354143
          51   0.0566041    0.051032 0.000364312
          52   0.0526582   0.0510633 0.000358645
          53    0.047861   0.0510029 0.000356932
          54   0.0503627    0.050991 0.000350519
          55   0.0492114   0.0509587 0.000345636
          56   0.0466321   0.0508814 0.000347992
          57   0.0527881   0.0509149 0.000343491
          58   0.0497736   0.0508952 0.000338131
          59   0.0481282   0.0508483 0.000335637
          60   0.0494389   0.0508248 0.000330864
          61   0.0507427   0.0508234 0.000325443
          62   0.0508873   0.0508245 0.000320195
          63   0.0466347    0.050758 0.000321945
          64   0.0497584   0.0507424 0.000317293
          65   0.0516533   0.0507564 0.000312721
          66   0.0520093   0.0507754 0.000308559
          67   0.0496602   0.0507587 0.000304402
          68   0.0479566   0.0507175 0.000302701
          69   0.0491243   0.0506944 0.000299194
          70   0.0481976   0.0506587 0.000297038
          71   0.0514932   0.0506705 0.000293087
          72   0.0500586    0.050662  0.00028914
          73   0.0492716   0.0506429 0.000285805
          74   0.0501421   0.0506362 0.000282023
          75   0.0504798   0.0506341 0.000278271
          76   0.0517359   0.0506486 0.000274987
          77   0.0531984   0.0506817 0.000273402
          78    0.046548   0.0506287 0.000274985
          79    0.054414   0.0506766 0.000275647
          80   0.0499109   0.0506671 0.000272368
