#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.04851     1.04851           0
           2     1.12016     1.08434   0.0253324
           3     1.14995     1.10621   0.0245787
           4      1.1914     1.12751   0.0260778
           5     1.19579     1.14116   0.0241751
           6      1.1848     1.14844   0.0212116
           7     1.19819     1.15554   0.0193356
           8     1.20863     1.16218   0.0180212
           9     1.19218     1.16551   0.0163242
          10     1.20018     1.16898   0.0150554
          11     1.17705     1.16971   0.0137046
          12     1.15825     1.16876   0.0125958
          13     1.14764     1.16713   0.0117312
          14     1.16497     1.16698   0.0108942
          15     1.17899     1.16778   0.0101973
          16     1.19777     1.16965  0.00973069
          17     1.18417     1.17051  0.00919567
          18     1.19864     1.17207  0.00881666
          19     1.21142     1.17414  0.00859241
          20     1.19472     1.17517  0.00822417
          21     1.18227     1.17551  0.00783948
          22     1.17916     1.17567   0.0074849
          23     1.21357     1.17732  0.00733854
          24     1.21835     1.17903  0.00722916
          25     1.22105     1.18071   0.0071327
          26     1.21666     1.18209   0.0069911
          27     1.24843     1.18455  0.00715091
          28     1.22826     1.18611  0.00706385
          29     1.22512     1.18746  0.00694714
          30     1.22807     1.18881  0.00684618
          31     1.23264     1.19023  0.00676973
          32     1.21413     1.19097  0.00659926
          33     1.23612     1.19234  0.00653958
          34     1.21902     1.19313  0.00639415
          35     1.22342     1.19399  0.00626978
          36     1.22082     1.19474  0.00613976
          37     1.21721     1.19534  0.00600378
          38     1.22056     1.19601  0.00588235
          39     1.26787     1.19785   0.0060132
          40      1.2644     1.19951  0.00608868
          41     1.25121     1.20077  0.00606933
          42     1.20811     1.20095  0.00592734
          43     1.20211     1.20098  0.00578955
          44     1.19814     1.20091  0.00565833
          45      1.1683     1.20019  0.00557881
          46      1.1596      1.1993  0.00552685
          47     1.17819     1.19885  0.00542749
          48     1.21545      1.1992  0.00532542
          49     1.23661     1.19996  0.00527118
          50      1.2306     1.20058  0.00520124
          51     1.25392     1.20162  0.00520337
          52     1.22442     1.20206  0.00512174
          53      1.2106     1.20222  0.00502763
          54     1.21377     1.20244  0.00493908
          55     1.19122     1.20223  0.00485349
          56     1.18719     1.20196  0.00477425
          57       1.203     1.20198  0.00469052
          58     1.19698      1.2019  0.00461044
          59     1.19521     1.20178  0.00453369
          60     1.22635     1.20219  0.00447658
          61     1.23116     1.20267  0.00442831
          62     1.23946     1.20326  0.00439646
          63     1.20019     1.20321  0.00432694
          64     1.20867      1.2033  0.00426017
          65      1.1976     1.20321  0.00419553
          66     1.21689     1.20342  0.00413708
          67     1.22219      1.2037  0.00408481
          68     1.19215     1.20353  0.00402826
          69     1.18291     1.20323  0.00398095
          70     1.16141     1.20263  0.00396864
          71     1.19019     1.20246  0.00391661
          72     1.21025     1.20256  0.00386371
          73     1.21269      1.2027  0.00381327
          74     1.22741     1.20304  0.00377634
          75      1.2306      1.2034  0.00374383
          76     1.22461     1.20368  0.00370496
          77     1.23132     1.20404  0.00367419
          78      1.2112     1.20413  0.00362823
          79     1.23888     1.20457  0.00360886
          80     1.22362     1.20481  0.00357159
