#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38254     1.38254           0
           2     1.38608     1.38431  0.00125312
           3      1.3851     1.38457 0.000862414
           4     1.38977     1.38587  0.00129833
           5     1.38475     1.38565  0.00105801
           6     1.39189     1.38669  0.00129618
           7      1.3867     1.38669  0.00111101
           8     1.38667     1.38669 0.000972139
           9     1.38949       1.387 0.000912649
          10      1.3848     1.38678 0.000847456
          11     1.38536     1.38665 0.000780131
          12     1.39049     1.38697 0.000777835
          13     1.38406     1.38675 0.000749609
          14     1.38647     1.38673 0.000696322
          15     1.38658     1.38672 0.000649969
          16     1.38671     1.38672 0.000609346
          17     1.38258     1.38647 0.000620207
          18     1.38471     1.38637 0.000593472
          19     1.38495      1.3863 0.000566946
          20     1.38423      1.3862 0.000547991
          21     1.38011     1.38591   0.0005935
          22     1.38344     1.38579 0.000576979
          23     1.38519     1.38577   0.0005525
          24     1.38933     1.38592 0.000548998
          25     1.38552      1.3859 0.000527262
          26     1.38561     1.38589 0.000507105
          27     1.38683     1.38592 0.000489513
          28     1.38842     1.38601 0.000480105
          29     1.38318     1.38592 0.000473414
          30     1.38332     1.38583 0.000465451
          31     1.38674     1.38586 0.000451367
          32     1.38468     1.38582 0.000438768
          33     1.38507      1.3858 0.000426058
          34     1.38356     1.38573 0.000418579
          35     1.38661     1.38576 0.000407363
          36     1.38768     1.38581 0.000399539
          37     1.38426     1.38577 0.000390926
          38     1.38542     1.38576 0.000380749
          39     1.38757     1.38581 0.000373793
          40     1.38553      1.3858 0.000364511
          41      1.3867     1.38582 0.000356275
          42     1.38437     1.38579 0.000349475
          43     1.38739     1.38582 0.000343336
          44     1.38248     1.38575 0.000343842
          45     1.38734     1.38578  0.00033801
          46     1.38597     1.38579 0.000330686
          47     1.38731     1.38582 0.000325238
          48     1.38806     1.38587 0.000321798
          49     1.38711     1.38589 0.000316229
          50      1.3853     1.38588 0.000310124
