#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.41878     1.41878           0
           2     1.41886     1.41882 2.92274e-05
           3     1.41882     1.41882 1.95715e-05
           4     1.41879     1.41881 1.63699e-05
           5     1.41889     1.41883 1.97144e-05
           6     1.41879     1.41882 1.76595e-05
           7     1.41873     1.41881 1.94394e-05
           8     1.41879     1.41881  1.7179e-05
           9      1.4188      1.4188 1.52759e-05
          10     1.41872      1.4188 1.59055e-05
          11     1.41886      1.4188 1.55717e-05
          12     1.41877      1.4188 1.45548e-05
          13     1.41885      1.4188 1.38946e-05
          14     1.41878      1.4188 1.29702e-05
          15     1.41876      1.4188 1.23382e-05
          16     1.41879      1.4188 1.15872e-05
          17     1.41878      1.4188 1.09482e-05
          18     1.41877      1.4188 1.04493e-05
          19     1.41882      1.4188 9.98049e-06
          20     1.41887      1.4188  1.0161e-05
          21     1.41883      1.4188 9.79888e-06
          22      1.4188      1.4188 9.35348e-06
          23     1.41866      1.4188 1.09128e-05
          24     1.41873     1.41879 1.08511e-05
          25     1.41862     1.41879 1.25124e-05
          26     1.41864     1.41878  1.3306e-05
          27     1.41868     1.41878 1.32967e-05
          28     1.41877     1.41878 1.28269e-05
          29     1.41893     1.41878 1.34477e-05
          30     1.41877     1.41878 1.30084e-05
          31      1.4189     1.41879 1.30946e-05
          32     1.41878     1.41879 1.26861e-05
          33     1.41885     1.41879 1.24774e-05
          34     1.41878     1.41879 1.21119e-05
          35     1.41885     1.41879 1.18987e-05
          36     1.41875     1.41879 1.16208e-05
          37     1.41879     1.41879  1.1307e-05
          38     1.41861     1.41878 1.18945e-05
          39     1.41872     1.41878 1.17118e-05
          40     1.41876     1.41878 1.14275e-05
          41     1.41881     1.41878 1.11693e-05
          42     1.41877     1.41878 1.09076e-05
          43      1.4188     1.41878 1.06632e-05
          44     1.41871     1.41878 1.05401e-05
          45      1.4188     1.41878 1.03141e-05
          46      1.4187     1.41878 1.02377e-05
          47      1.4187     1.41878 1.01512e-05
          48     1.41869     1.41878 1.00952e-05
          49     1.41878     1.41878 9.88958e-06
          50     1.41865     1.41877 1.00086e-05
          51     1.41863     1.41877 1.01724e-05
          52     1.41866     1.41877 1.01855e-05
          53      1.4187     1.41877 1.00706e-05
          54      1.4187     1.41877 9.97081e-06
          55     1.41887     1.41877 9.97447e-06
          56      1.4189     1.41877 1.00638e-05
          57     1.41879     1.41877 9.89386e-06
          58     1.41887     1.41877  9.8752e-06
          59     1.41876     1.41877 9.71104e-06
          60     1.41868     1.41877 9.65897e-06
          61     1.41872     1.41877 9.54224e-06
          62     1.41878     1.41877 9.38975e-06
          63     1.41878     1.41877 9.24361e-06
          64     1.41883     1.41877 9.14355e-06
          65     1.41876     1.41877   9.005e-06
          66      1.4187     1.41877 8.94006e-06
          67     1.41879     1.41877 8.81179e-06
          68     1.41871     1.41877 8.71992e-06
          69     1.41878     1.41877 8.59609e-06
          70     1.41868     1.41877 8.56584e-06
          71     1.41857     1.41877 8.88067e-06
          72     1.41867     1.41876  8.8568e-06
          73     1.41856     1.41876 9.16048e-06
          74     1.41864     1.41876 9.19206e-06
          75     1.41865     1.41876 9.18919e-06
          76     1.41857     1.41876 9.37898e-06
          77     1.41861     1.41875 9.44465e-06
          78     1.41867     1.41875 9.38091e-06
          79     1.41885     1.41875 9.33645e-06
          80     1.41879     1.41875 9.22959e-06
