# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.0256496               0               0
0.0512993               0               0
0.0769489               0               0
0.102599               0               0
0.128248               0               0
0.153898               0               0
0.179547               0               0
0.205197               0               0
0.230847               0               0
0.256496               0               0
0.282146               0               0
0.307796               0               0
0.333445               0               0
0.359095               0               0
0.384745               0               0
0.410394               0               0
0.436044               0               0
0.461694               0               0
0.487343               0               0
0.512993               0               0
0.538642               0               0
0.564292               0               0
0.589942               0               0
0.615591               0               0
0.641241               0               0
0.666891               0               0
0.69254               0               0
0.71819               0               0
0.74384               0               0
0.769489               0               0
0.795139               0               0
0.820788               0               0
0.846438     1.12292e-05     4.29447e-06
0.872088        0.001156     4.72347e-05
0.897737       0.0228638     0.000220512
0.923387        0.155347     0.000698632
0.949037        0.534781      0.00142418
0.974686         1.13707      0.00210292
1.00034         1.77088      0.00300802
1.02599         2.22404      0.00230072
1.05164         2.43375       0.0019299
1.07728          2.4344        0.001934
1.10293         2.30197      0.00198548
1.12858          2.1074      0.00168153
1.15423         1.88918      0.00206921
1.17988         1.68409      0.00204791
1.20553         1.49519       0.0023803
1.23118         1.33234      0.00184716
1.25683          1.1982       0.0017506
1.28248         1.08252      0.00148744
1.30813        0.985221      0.00128703
1.33378        0.907078      0.00132877
1.35943        0.842768      0.00116008
1.38508        0.788591      0.00115363
1.41073        0.746851      0.00104684
1.43638        0.712888      0.00106178
1.46203        0.687163       0.0011371
1.48768        0.668197      0.00106326
1.51333        0.655722       0.0010302
1.53898        0.649353     0.000976282
1.56463        0.649401     0.000996046
1.59028        0.653887      0.00119753
1.61593        0.663416     0.000918233
1.64158        0.679504     0.000972538
1.66723         0.70093     0.000992776
1.69288         0.72612     0.000885713
1.71853        0.756466     0.000945713
1.74418        0.791311       0.0010078
1.76983        0.827725     0.000885325
1.79547         0.86802     0.000989562
1.82112        0.909456      0.00100503
1.84677        0.950876     0.000908303
1.87242        0.992856      0.00109174
1.89807         1.03037     0.000894436
1.92372          1.0679      0.00107256
1.94937             1.1     0.000997508
1.97502         1.13314      0.00090497
2.00067         1.15658      0.00108159
2.02632         1.17402     0.000913713
2.05197         1.18448      0.00104545
2.07762         1.18711     0.000907696
2.10327         1.18113      0.00085079
2.12892         1.16681     0.000918101
2.15457         1.14799      0.00104184
2.18022         1.12626      0.00103036
2.20587         1.09906     0.000952586
2.23152         1.07202     0.000934627
2.25717          1.0431      0.00100066
2.28282         1.01688     0.000902824
2.30847        0.990554     0.000888834
2.33412        0.967104     0.000910408
2.35977        0.945199     0.000804977
2.38542        0.927147     0.000820546
2.41107         0.91171     0.000767449
2.43672        0.898686     0.000780949
2.46237        0.889674     0.000838606
2.48802        0.875575     0.000760421
2.51366        0.867352     0.000879985
2.53931        0.867056     0.000825142
