# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.0256496               0               0
0.0512993               0               0
0.0769489               0               0
0.102599               0               0
0.128248               0               0
0.153898               0               0
0.179547               0               0
0.205197               0               0
0.230847               0               0
0.256496               0               0
0.282146               0               0
0.307796               0               0
0.333445               0               0
0.359095               0               0
0.384745               0               0
0.410394               0               0
0.436044               0               0
0.461694               0               0
0.487343               0               0
0.512993               0               0
0.538642               0               0
0.564292               0               0
0.589942               0               0
0.615591               0               0
0.641241               0               0
0.666891               0               0
0.69254               0               0
0.71819               0               0
0.74384               0               0
0.769489               0               0
0.795139               0               0
0.820788               0               0
0.846438               0               0
0.872088      0.00131124     0.000208548
0.897737        0.023394      0.00105529
0.923387        0.156993      0.00267835
0.949037        0.538435      0.00435428
0.974686          1.1499      0.00715366
1.00034         1.79113      0.00898823
1.02599         2.23275       0.0101491
1.05164         2.43214       0.0101988
1.07728         2.43098       0.0108599
1.10293         2.28682      0.00932978
1.12858         2.09597      0.00944996
1.15423         1.89051      0.00861344
1.17988         1.69063      0.00926885
1.20553         1.49525      0.00836125
1.23118         1.34431      0.00832362
1.25683         1.19459       0.0078008
1.28248         1.08893       0.0065932
1.30813        0.985422      0.00601452
1.33378        0.900707      0.00558805
1.35943         0.83582      0.00508375
1.38508         0.78349      0.00553495
1.41073        0.737688      0.00452904
1.43638        0.708177      0.00473971
1.46203        0.680184      0.00458227
1.48768        0.661686      0.00430195
1.51333        0.649837      0.00513855
1.53898        0.646694      0.00438959
1.56463        0.647057      0.00424691
1.59028         0.64529      0.00404365
1.61593        0.663795      0.00510077
1.64158        0.679973      0.00407691
1.66723        0.698768      0.00386609
1.69288        0.726119       0.0044875
1.71853        0.754571      0.00442691
1.74418        0.792591      0.00406727
1.76983        0.836275      0.00403415
1.79547        0.882518      0.00458127
1.82112        0.925152      0.00473397
1.84677        0.964082      0.00409653
1.87242        0.997538      0.00462799
1.89807          1.0434      0.00445308
1.92372         1.07133      0.00471856
1.94937         1.10029      0.00438273
1.97502         1.13074      0.00403986
2.00067         1.15367      0.00433892
2.02632         1.17276      0.00436804
2.05197         1.18681      0.00398641
2.07762         1.18783       0.0042051
2.10327         1.18522      0.00415738
2.12892         1.16448      0.00420122
2.15457         1.14735      0.00392801
2.18022         1.12299      0.00421222
2.20587         1.09857      0.00367747
2.23152         1.07471      0.00359145
2.25717         1.03728      0.00345583
2.28282         1.01105      0.00385082
2.30847        0.986344      0.00363628
2.33412        0.963238      0.00359349
2.35977         0.93891      0.00349555
2.38542        0.921023      0.00359943
2.41107        0.906505      0.00283208
2.43672        0.891233      0.00303363
2.46237        0.878037      0.00252252
2.48802        0.873847      0.00340418
2.51366        0.866651      0.00336078
2.53931        0.873539      0.00378365
