#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66524     1.66524           0
           2     1.65876       1.662  0.00229419
           3     1.64047     1.65482  0.00605686
           4     1.68345     1.66198  0.00768429
           5     1.66559      1.6627  0.00618129
           6     1.65148     1.66083  0.00542681
           7     1.67353     1.66264  0.00494531
           8     1.64594     1.66056  0.00474735
           9     1.68135     1.66287  0.00474911
          10     1.66885     1.66347  0.00431168
          11     1.62496     1.65996  0.00514838
          12     1.65124     1.65924   0.0047704
          13     1.65151     1.65864  0.00444029
          14       1.605     1.65481   0.0055349
          15     1.65069     1.65454  0.00517273
          16     1.68794     1.65662  0.00525395
          17     1.63648     1.65544  0.00507682
          18       1.654     1.65536  0.00479541
          19     1.66009     1.65561  0.00454949
          20     1.68483     1.65707  0.00455055
          21     1.65065     1.65676  0.00434412
          22     1.68038     1.65784   0.0042772
          23     1.61402     1.65593  0.00449552
          24     1.63624     1.65511   0.0043824
          25     1.63151     1.65417  0.00430759
          26     1.57413     1.65109  0.00512516
          27     1.58849     1.64877  0.00543447
          28     1.63496     1.64828  0.00526273
          29     1.57873     1.64588  0.00560114
          30     1.63113     1.64539  0.00543597
          31     1.63786     1.64514  0.00526603
          32     1.63438     1.64481   0.0051122
          33     1.70673     1.64668  0.00529045
          34     1.67968     1.64765   0.0052231
          35     1.66881     1.64826  0.00510872
          36     1.60783     1.64714  0.00508876
          37     1.68184     1.64807  0.00503694
          38     1.66448     1.64851  0.00492284
          39      1.6642     1.64891  0.00481304
          40     1.63035     1.64844  0.00471503
          41     1.65976     1.64872   0.0046081
          42     1.60572      1.6477  0.00461071
          43     1.64343      1.6476  0.00450455
          44     1.65682     1.64781  0.00440704
          45      1.6324     1.64746   0.0043224
          46     1.65344     1.64759  0.00423038
          47      1.6982     1.64867  0.00427519
          48     1.70569     1.64986    0.004348
          49     1.68938     1.65067  0.00433343
          50     1.68653     1.65138  0.00430572
          51     1.65811     1.65151  0.00422331
          52     1.63391     1.65118  0.00415563
          53     1.63673      1.6509  0.00408615
          54     1.58774     1.64973  0.00417453
          55     1.66073     1.64993  0.00410341
          56     1.65089     1.64995  0.00403017
          57     1.64402     1.64985  0.00396081
          58     1.64205     1.64971  0.00389481
          59     1.63525     1.64947   0.0038365
          60     1.66835     1.64978  0.00378544
          61     1.61545     1.64922  0.00376501
          62      1.6574     1.64935  0.00370659
          63     1.66001     1.64952  0.00365161
          64     1.63664     1.64932   0.0036001
          65     1.62713     1.64898  0.00356086
          66     1.66754     1.64926  0.00351799
          67     1.69651     1.64996  0.00353545
          68     1.67914     1.65039   0.0035094
          69     1.63808     1.65021  0.00346307
          70     1.58447     1.64928  0.00353865
          71     1.63918     1.64913  0.00349166
          72     1.64871     1.64913  0.00344317
          73     1.67142     1.64943  0.00340952
          74     1.66495     1.64964  0.00336988
          75     1.61291     1.64915  0.00336035
          76     1.66203     1.64932   0.0033204
          77     1.64559     1.64927  0.00327763
          78      1.6366     1.64911  0.00323964
          79     1.68493     1.64956   0.0032302
          80     1.60805     1.64905  0.00323124
