#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46014    -5.46014           0
           2    -5.44177    -5.45096  0.00649431
           3     -5.4621    -5.45467  0.00528628
           4    -5.47838     -5.4606  0.00648525
           5    -5.47506    -5.46349    0.005797
           6    -5.46914    -5.46443  0.00490669
           7    -5.46296    -5.46422  0.00421023
           8    -5.46367    -5.46415  0.00368451
           9    -5.46262    -5.46398  0.00327908
          10    -5.46133    -5.46372  0.00296184
          11    -5.46357     -5.4637  0.00269261
          12    -5.46631    -5.46392  0.00247698
          13    -5.46085    -5.46368  0.00229771
          14    -5.46462    -5.46375  0.00213456
          15    -5.46617    -5.46391  0.00199834
          16    -5.46215     -5.4638  0.00187647
          17    -5.49366    -5.46556  0.00245399
          18    -5.46964    -5.46579  0.00232812
          19    -5.48061    -5.46657  0.00233267
          20    -5.47262    -5.46687  0.00223556
          21    -5.47538    -5.46727  0.00216558
          22    -5.46437    -5.46714  0.00207117
          23    -5.47693    -5.46757  0.00202435
          24     -5.4628    -5.46737  0.00194973
          25    -5.46177    -5.46714  0.00188458
          26    -5.47908     -5.4676  0.00186718
          27    -5.47613    -5.46792   0.0018245
          28    -5.48502    -5.46853  0.00185875
          29    -5.45017     -5.4679  0.00189946
          30    -5.45621    -5.46751  0.00187567
          31    -5.49043    -5.46825  0.00195544
          32    -5.46805    -5.46824  0.00189435
          33    -5.46465    -5.46813  0.00184007
          34    -5.47089    -5.46821  0.00178774
          35     -5.4613    -5.46802  0.00174754
          36    -5.46977    -5.46806  0.00169968
          37    -5.47004    -5.46812  0.00165459
          38    -5.46504    -5.46804  0.00161302
          39    -5.47514    -5.46822  0.00158191
          40    -5.46578    -5.46816  0.00154353
          41     -5.4686    -5.46817  0.00150593
          42    -5.44105    -5.46752   0.0016025
          43    -5.46707    -5.46751  0.00156526
          44    -5.45333    -5.46719  0.00156255
          45    -5.46289    -5.46709  0.00153074
          46    -5.47324    -5.46723  0.00150327
          47    -5.44679    -5.46679  0.00153288
          48    -5.48005    -5.46707  0.00152561
          49    -5.44882     -5.4667  0.00153925
          50    -5.46878    -5.46674  0.00150903
