#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47443    -5.47443           0
           2    -5.46866    -5.47154  0.00203966
           3    -5.45063    -5.46457  0.00585169
           4    -5.49624    -5.47249   0.0081407
           5    -5.47495    -5.47298  0.00652746
           6    -5.46063    -5.47092   0.0057553
           7    -5.48387    -5.47277  0.00522179
           8    -5.45618     -5.4707  0.00496395
           9    -5.49086    -5.47294   0.0048918
          10    -5.47977    -5.47362     0.00445
          11    -5.43506    -5.47012  0.00524747
          12    -5.46213    -5.46945  0.00485214
          13    -5.45997    -5.46872  0.00453333
          14    -5.41373    -5.46479  0.00566114
          15    -5.46136    -5.46456  0.00528836
          16    -5.49822    -5.46667  0.00535975
          17      -5.447    -5.46551  0.00516787
          18    -5.46322    -5.46538  0.00488233
          19     -5.4712    -5.46569  0.00463497
          20    -5.49758    -5.46728  0.00466947
          21    -5.46079    -5.46698  0.00445734
          22    -5.49152    -5.46809  0.00439217
          23    -5.42604    -5.46626  0.00456585
          24    -5.44715    -5.46547  0.00444455
          25    -5.43881     -5.4644  0.00439281
          26    -5.38305    -5.46127  0.00522058
          27    -5.39864    -5.45895  0.00551856
          28    -5.44364     -5.4584   0.0053485
          29     -5.3879    -5.45597  0.00568991
          30    -5.44145    -5.45549   0.0055208
          31    -5.44969     -5.4553  0.00534587
          32    -5.44384    -5.45494   0.0051908
          33    -5.52178    -5.45697  0.00541427
          34    -5.49135    -5.45798  0.00534864
          35    -5.47897    -5.45858  0.00522934
          36    -5.41497    -5.45737  0.00522249
          37    -5.49069    -5.45827  0.00515838
          38    -5.47423    -5.45869   0.0050397
          39    -5.47502    -5.45911  0.00492783
          40    -5.44087    -5.45865  0.00482569
          41    -5.46904    -5.45891  0.00471463
          42    -5.41656     -5.4579  0.00470898
          43    -5.45212    -5.45776  0.00460138
          44    -5.46651    -5.45796  0.00450109
          45     -5.4425    -5.45762  0.00441417
          46    -5.46393    -5.45776  0.00432034
          47    -5.50842    -5.45883  0.00436082
          48    -5.51607    -5.46003  0.00442999
          49    -5.49623    -5.46076  0.00440075
          50    -5.49779     -5.4615  0.00437459
          51     -5.4662     -5.4616  0.00428978
          52    -5.44197    -5.46122  0.00422386
          53    -5.44798    -5.46097  0.00415154
          54    -5.39724    -5.45979  0.00423909
          55    -5.47033    -5.45998  0.00416634
          56    -5.46063    -5.45999  0.00409196
          57    -5.45468     -5.4599  0.00402123
          58    -5.45076    -5.45974  0.00395498
          59    -5.44335    -5.45946   0.0038977
          60    -5.47789    -5.45977  0.00384482
          61    -5.42409    -5.45919  0.00382603
          62    -5.46799    -5.45933  0.00376696
          63    -5.46942    -5.45949  0.00371057
          64    -5.44454    -5.45926  0.00365993
          65    -5.43698    -5.45891  0.00361964
          66    -5.47822     -5.4592   0.0035766
          67    -5.50971    -5.45996  0.00360177
          68    -5.48827    -5.46038  0.00357279
          69    -5.44408    -5.46014   0.0035288
          70    -5.39258    -5.45917  0.00360797
          71    -5.44963    -5.45904  0.00355966
          72    -5.45767    -5.45902  0.00351027
          73    -5.48193    -5.45933  0.00347619
          74    -5.47684    -5.45957  0.00343726
          75    -5.42252    -5.45908  0.00342674
          76    -5.47011    -5.45922  0.00338473
          77    -5.45483    -5.45916  0.00334125
          78    -5.44489    -5.45898  0.00330342
          79    -5.49454    -5.45943  0.00329212
          80    -5.41652     -5.4589  0.00329438
