#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.10085     2.10085           0
           2     2.21091     2.15588   0.0389121
           3     2.08857     2.13344   0.0317584
           4     2.00615     2.10162   0.0364259
           5     2.06167     2.09363    0.030004
           6      2.0561     2.08737   0.0256471
           7     2.11873     2.09185   0.0223709
           8     2.10233     2.09316   0.0196128
           9     2.08439     2.09219   0.0174579
          10     2.11814     2.09478   0.0159038
          11     2.08017     2.09346   0.0145134
          12     2.07234      2.0917   0.0134102
          13     2.10884     2.09301   0.0124433
          14     2.05079        2.09   0.0119144
          15     2.05953     2.08797   0.0112919
          16     2.08593     2.08784   0.0105869
          17      1.9343     2.07881   0.0132687
          18     2.06336     2.07795   0.0125593
          19     2.00087     2.07389   0.0125363
          20     2.02563     2.07148   0.0121395
          21     2.01801     2.06893   0.0118255
          22     2.09984     2.07034   0.0113711
          23     2.01961     2.06813   0.0110885
          24     2.08232     2.06872   0.0106422
          25     2.06339     2.06851   0.0102187
          26     2.00516     2.06607    0.010112
          27     1.99772     2.06354   0.0100494
          28     1.98184     2.06063   0.0101052
          29     2.12768     2.06294   0.0100178
          30     2.14169     2.06556   0.0100219
          31     1.95687     2.06206   0.0102937
          32     2.04381     2.06149  0.00998782
          33     2.09718     2.06257  0.00974354
          34     2.05776     2.06243  0.00945799
          35     2.08815     2.06316  0.00921627
          36     2.06461      2.0632  0.00896035
          37     2.04736     2.06277   0.0087284
          38     2.10696     2.06394  0.00857581
          39     2.03194     2.06312  0.00839505
          40     2.05789     2.06298   0.0081862
          41     2.06278     2.06298  0.00798653
          42     2.21398     2.06658  0.00856747
          43     2.08187     2.06693  0.00837561
          44     2.11015     2.06791  0.00824265
          45     2.10186     2.06867  0.00809393
          46     2.04267      2.0681  0.00793768
          47     2.13168     2.06946  0.00788322
          48     1.99086     2.06782   0.0078872
          49      2.1777     2.07006  0.00803871
          50     2.07203      2.0701  0.00787804
