#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.98213     1.98213           0
           2     2.00573     1.99393  0.00834267
           3     2.07729     2.02172   0.0233581
           4     2.09906     2.04105   0.0242342
           5     2.13594     2.06003   0.0257683
           6     2.09654     2.06611   0.0221805
           7      1.9645      2.0516   0.0232829
           8     2.18395     2.06814   0.0255837
           9     2.00746      2.0614   0.0236128
          10      1.9728     2.05254   0.0228535
          11     2.19316     2.06532   0.0240874
          12     2.04824      2.0639   0.0221222
          13      2.0831     2.06538   0.0204697
          14     2.23882     2.07777   0.0224458
          15     2.04391     2.07551   0.0210625
          16     1.86678     2.06246   0.0234405
          17     2.24019     2.07292   0.0242814
          18      2.0069     2.06925   0.0232078
          19     2.11923     2.07188   0.0221349
          20     1.85744     2.06116   0.0234817
          21     2.07287     2.06172   0.0223702
          22     1.95669     2.05694   0.0218568
          23     2.25269     2.06545   0.0225025
          24     2.05488     2.06501   0.0215692
          25     2.19799     2.07033   0.0213522
          26     2.42039     2.08379   0.0244095
          27     2.39598     2.09536   0.0261007
          28     2.19118     2.09878   0.0253919
          29       2.385     2.10865   0.0263647
          30     2.07943     2.10768   0.0255039
          31     2.13416     2.10853   0.0246955
          32     2.10881     2.10854   0.0239238
          33     1.74433      2.0975   0.0256184
          34     1.94762     2.09309   0.0252413
          35     1.97849     2.08982   0.0247316
          36     2.37806     2.09783   0.0253075
          37     1.89369     2.09231   0.0252178
          38     2.11829     2.09299   0.0245634
          39     2.02365     2.09121   0.0239979
          40     2.32545     2.09707   0.0241018
          41     2.11044      2.0974   0.0235162
          42     2.19433      2.0997   0.0230692
          43      2.1287     2.10038   0.0225426
          44     2.24871     2.10375   0.0222809
          45     2.05852     2.10274   0.0218085
          46     2.11734     2.10306   0.0213367
          47     1.96084     2.10004   0.0210962
          48     2.01342     2.09823   0.0207337
          49     1.96617     2.09554    0.020485
          50     1.84769     2.09058   0.0206663
          51     2.03795     2.08955   0.0202868
          52     2.11733     2.09008   0.0199037
          53     2.09307     2.09014   0.0195283
          54     2.45822     2.09695   0.0203215
          55     2.06972     2.09646    0.019958
          56     2.19282     2.09818   0.0196757
          57     2.10986     2.09839   0.0193315
          58     2.29504     2.10178   0.0192933
          59     2.27486     2.10471    0.019188
          60     2.14059     2.10531   0.0188776
          61     2.18474     2.10661   0.0186129
          62      2.1369      2.1071   0.0183191
          63        2.09     2.10683   0.0180304
          64     2.16919      2.1078    0.017775
          65     2.22371     2.10958   0.0175907
          66     1.97493     2.10754   0.0174421
          67     1.75587      2.1023   0.0179542
          68     2.23229     2.10421   0.0177916
          69     2.40888     2.10862   0.0180734
          70     2.51334      2.1144   0.0187171
          71     2.14646     2.11486    0.018459
          72     2.01826     2.11351   0.0182513
          73     2.05178     2.11267   0.0180208
          74     2.05032     2.11183    0.017797
          75      2.2376      2.1135   0.0176385
          76     2.17971     2.11437    0.017428
          77      2.2676     2.11636   0.0173149
          78     2.22498     2.11776   0.0171488
          79     2.08791     2.11738   0.0169359
          80     2.33413     2.12009   0.0169395
