#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11016     1.11016           0
           2     1.10584       1.108  0.00152946
           3     1.09364     1.10321  0.00403791
           4      1.1223     1.10799  0.00512286
           5     1.11039     1.10847  0.00412086
           6     1.10098     1.10722  0.00361787
           7     1.11568     1.10843  0.00329687
           8      1.0973     1.10704   0.0031649
           9      1.1209     1.10858  0.00316607
          10     1.11256     1.10898  0.00287445
          11      1.0833     1.10664  0.00343225
          12     1.10083     1.10616  0.00318027
          13     1.10101     1.10576  0.00296019
          14        1.07     1.10321  0.00368993
          15     1.10046     1.10302  0.00344849
          16      1.1253     1.10442  0.00350264
          17     1.09098     1.10363  0.00338455
          18     1.10266     1.10357  0.00319694
          19     1.10673     1.10374  0.00303299
          20     1.12322     1.10471   0.0030337
          21     1.10043     1.10451  0.00289608
          22     1.12025     1.10522  0.00285147
          23     1.07601     1.10395  0.00299701
          24     1.09083     1.10341   0.0029216
          25     1.08767     1.10278  0.00287173
          26     1.04942     1.10073  0.00341678
          27     1.05899     1.09918  0.00362298
          28     1.08997     1.09885  0.00350849
          29     1.05248     1.09725  0.00373409
          30     1.08742     1.09692  0.00362398
          31     1.09191     1.09676  0.00351069
          32     1.08959     1.09654  0.00340813
          33     1.13782     1.09779  0.00352697
          34     1.11979     1.09844  0.00348207
          35     1.11254     1.09884  0.00340582
          36     1.07189     1.09809  0.00339251
          37     1.12123     1.09872  0.00335796
          38     1.10965       1.099   0.0032819
          39     1.10947     1.09927  0.00320869
          40      1.0869     1.09896  0.00314335
          41     1.10651     1.09915  0.00307207
          42     1.07048     1.09846  0.00307381
          43     1.09562      1.0984  0.00300303
          44     1.10454     1.09854  0.00293803
          45     1.08826     1.09831   0.0028816
          46     1.10229      1.0984  0.00282026
          47     1.13213     1.09911  0.00285012
          48     1.13712     1.09991  0.00289867
          49     1.12625     1.10044  0.00288895
          50     1.12435     1.10092  0.00287048
          51     1.10541     1.10101  0.00281554
          52     1.08928     1.10078  0.00277042
          53     1.09116      1.1006   0.0027241
          54     1.05849     1.09982  0.00278302
          55     1.10715     1.09996  0.00273561
          56      1.1006     1.09997  0.00268678
          57     1.09601      1.0999  0.00264054
          58      1.0947     1.09981  0.00259654
          59     1.09017     1.09964  0.00255766
          60     1.11223     1.09985  0.00252363
          61     1.07696     1.09948     0.00251
          62     1.10493     1.09957  0.00247106
          63     1.10667     1.09968  0.00243441
          64     1.09109     1.09955  0.00240007
          65     1.08476     1.09932   0.0023739
          66     1.11169     1.09951  0.00234533
          67       1.131     1.09998  0.00235697
          68     1.11943     1.10026   0.0023396
          69     1.09206     1.10014  0.00230871
          70     1.05632     1.09952   0.0023591
          71     1.09279     1.09942  0.00232778
          72     1.09914     1.09942  0.00229545
          73     1.11428     1.09962  0.00227301
          74     1.10996     1.09976  0.00224659
          75     1.07528     1.09944  0.00224023
          76     1.10802     1.09955   0.0022136
          77     1.09706     1.09952  0.00218509
          78     1.09107     1.09941  0.00215976
          79     1.12329     1.09971  0.00215347
          80     1.07203     1.09936  0.00215416
