#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.81014    -3.81014           0
           2    -3.79177    -3.80096  0.00649431
           3     -3.8121    -3.80467  0.00528628
           4    -3.82838     -3.8106  0.00648525
           5    -3.82506    -3.81349    0.005797
           6    -3.81914    -3.81443  0.00490669
           7    -3.81296    -3.81422  0.00421023
           8    -3.81367    -3.81415  0.00368451
           9    -3.81262    -3.81398  0.00327908
          10    -3.81133    -3.81372  0.00296184
          11    -3.81357     -3.8137  0.00269261
          12    -3.81631    -3.81392  0.00247698
          13    -3.81085    -3.81368  0.00229771
          14    -3.81462    -3.81375  0.00213456
          15    -3.81617    -3.81391  0.00199834
          16    -3.81215     -3.8138  0.00187647
          17    -3.84366    -3.81556  0.00245399
          18    -3.81964    -3.81579  0.00232812
          19    -3.83061    -3.81657  0.00233267
          20    -3.82262    -3.81687  0.00223556
          21    -3.82538    -3.81727  0.00216558
          22    -3.81437    -3.81714  0.00207117
          23    -3.82693    -3.81757  0.00202435
          24     -3.8128    -3.81737  0.00194973
          25    -3.81177    -3.81714  0.00188458
          26    -3.82908     -3.8176  0.00186718
          27    -3.82613    -3.81792   0.0018245
          28    -3.83502    -3.81853  0.00185875
          29    -3.80017     -3.8179  0.00189946
          30    -3.80621    -3.81751  0.00187567
          31    -3.84043    -3.81825  0.00195544
          32    -3.81805    -3.81824  0.00189435
          33    -3.81465    -3.81813  0.00184007
          34    -3.82089    -3.81821  0.00178774
          35     -3.8113    -3.81802  0.00174754
          36    -3.81977    -3.81806  0.00169968
          37    -3.82004    -3.81812  0.00165459
          38    -3.81504    -3.81804  0.00161302
          39    -3.82514    -3.81822  0.00158191
          40    -3.81578    -3.81816  0.00154353
          41     -3.8186    -3.81817  0.00150593
          42    -3.79105    -3.81752   0.0016025
          43    -3.81707    -3.81751  0.00156526
          44    -3.80333    -3.81719  0.00156255
          45    -3.81289    -3.81709  0.00153074
          46    -3.82324    -3.81723  0.00150327
          47    -3.79679    -3.81679  0.00153288
          48    -3.83005    -3.81707  0.00152561
          49    -3.79882     -3.8167  0.00153925
          50    -3.81878    -3.81674  0.00150903
