#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80918    -3.80918           0
           2     -3.8099    -3.80954 0.000254527
           3    -3.81017    -3.80975 0.000239531
           4    -3.81279    -3.81051 0.000682636
           5    -3.80936    -3.81028 0.000583445
           6    -3.80915    -3.81009 0.000515826
           7    -3.81034    -3.81013 0.000443375
           8    -3.81024    -3.81014 0.000388155
           9    -3.80951    -3.81007  0.00035142
          10    -3.81092    -3.81016 0.000326337
          11    -3.81011    -3.81015 0.000296701
          12    -3.81089    -3.81021 0.000278349
          13    -3.80846    -3.81008 0.000287736
          14    -3.80873    -3.80998  0.00028282
          15    -3.81067    -3.81003 0.000267668
          16    -3.81027    -3.81004  0.00025137
          17    -3.81052    -3.81007 0.000238144
          18    -3.80922    -3.81002 0.000229519
          19    -3.81111    -3.81008 0.000224433
          20    -3.81275    -3.81022 0.000249851
          21    -3.81014    -3.81021 0.000237976
          22    -3.81115    -3.81025 0.000230918
          23    -3.81202    -3.81033 0.000233336
          24     -3.8109    -3.81036 0.000224815
          25     -3.8073    -3.81023 0.000246827
          26    -3.80892    -3.81018 0.000242454
          27    -3.81015    -3.81018 0.000233477
          28    -3.80868    -3.81013 0.000231217
          29    -3.80917    -3.81009 0.000225586
          30    -3.81032     -3.8101 0.000218197
          31    -3.81183    -3.81016 0.000218162
          32    -3.80946    -3.81014 0.000212433
          33    -3.81505    -3.81029 0.000252935
          34    -3.81167    -3.81033  0.00024877
          35    -3.81017    -3.81032 0.000241705
          36    -3.80715    -3.81023 0.000250569
          37    -3.80884     -3.8102 0.000246593
          38    -3.80975    -3.81018 0.000240381
          39    -3.81081     -3.8102 0.000234757
          40    -3.81052    -3.81021 0.000229023
          41    -3.80928    -3.81019 0.000224556
          42    -3.81083     -3.8102 0.000219741
          43    -3.80869    -3.81017 0.000217424
          44    -3.80969    -3.81016  0.00021275
          45     -3.8101    -3.81015 0.000208025
          46    -3.81049    -3.81016  0.00020363
          47    -3.81022    -3.81016 0.000199301
          48    -3.81038    -3.81017 0.000195202
          49    -3.80685     -3.8101 0.000202642
          50    -3.81126    -3.81012 0.000199911
          51    -3.80809    -3.81008 0.000199922
          52    -3.80806    -3.81004 0.000199835
          53    -3.81124    -3.81007 0.000197344
          54     -3.8095    -3.81006 0.000193969
          55     -3.8096    -3.81005 0.000190619
          56    -3.80974    -3.81004 0.000187296
          57    -3.81067    -3.81005 0.000184332
          58    -3.80871    -3.81003 0.000182592
          59    -3.80809       -3.81 0.000182419
          60    -3.80954    -3.80999 0.000179537
          61    -3.80864    -3.80997 0.000177946
          62     -3.8106    -3.80998 0.000175368
          63    -3.80941    -3.80997 0.000172817
          64    -3.80791    -3.80994 0.000173098
          65    -3.80984    -3.80993 0.000170441
          66    -3.81068    -3.80995 0.000168236
          67     -3.8132    -3.80999 0.000172594
          68    -3.80913    -3.80998 0.000170521
          69      -3.806    -3.80992 0.000177556
          70     -3.8081     -3.8099 0.000176915
          71    -3.81044    -3.80991 0.000174588
          72    -3.80896    -3.80989 0.000172657
          73    -3.81051     -3.8099 0.000170502
          74     -3.8119    -3.80993 0.000170319
          75    -3.80961    -3.80992 0.000168102
          76    -3.80808     -3.8099 0.000167625
          77    -3.80925    -3.80989 0.000165663
          78    -3.80829    -3.80987 0.000164802
          79    -3.80961    -3.80987  0.00016275
          80    -3.80847    -3.80985  0.00016165
