#   N_BLOCK:  ACCEPTANCE:
           1    0.473361
           2    0.473372
           3     0.47334
           4    0.473363
           5    0.473168
           6    0.473403
           7    0.473363
           8    0.473465
           9    0.473279
          10    0.473282
          11    0.473165
          12     0.47304
          13    0.473008
          14    0.473006
          15      0.4729
          16    0.472964
          17    0.472875
          18    0.472825
          19    0.472907
          20    0.472841
          21    0.472809
          22    0.472799
          23    0.472689
          24    0.472723
          25    0.472699
          26    0.472654
          27     0.47261
          28     0.47263
          29    0.472568
          30    0.472584
          31    0.472663
          32    0.472666
          33    0.472654
          34    0.472614
          35    0.472615
          36    0.472625
          37    0.472602
          38    0.472608
          39    0.472579
          40    0.472591
          41    0.472589
          42    0.472593
          43    0.472611
          44    0.472618
          45    0.472604
          46    0.472598
          47     0.47257
          48    0.472565
          49    0.472552
          50    0.472557
