# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.0230664               0               0
0.0461329               0               0
0.0691993               0               0
0.0922657               0               0
0.115332               0               0
0.138399               0               0
0.161465               0               0
0.184531               0               0
0.207598               0               0
0.230664               0               0
0.253731               0               0
0.276797               0               0
0.299864               0               0
0.32293               0               0
0.345996               0               0
0.369063               0               0
0.392129               0               0
0.415196               0               0
0.438262               0               0
0.461329               0               0
0.484395               0               0
0.507461               0               0
0.530528               0               0
0.553594               0               0
0.576661               0               0
0.599727               0               0
0.622794               0               0
0.64586               0               0
0.668926               0               0
0.691993               0               0
0.715059               0               0
0.738126               0               0
0.761192               0               0
0.784259               0               0
0.807325               0               0
0.830391               0               0
0.853458     7.51434e-07     7.43726e-07
0.876524     7.21009e-05     9.80932e-06
0.899591      0.00321464     6.22498e-05
0.922657       0.0448303     0.000296928
0.945724        0.280875     0.000979479
0.96879          0.9616      0.00198091
0.991856         2.14167      0.00257144
1.01492         3.46713      0.00222488
1.03799          4.4237      0.00265825
1.06106         4.69226      0.00266076
1.08412         4.30536      0.00329709
1.10719         3.51086      0.00291716
1.13026         2.59005      0.00212223
1.15332         1.74452      0.00155055
1.17639         1.08833      0.00130055
1.19945        0.629064      0.00118487
1.22252        0.340545      0.00113954
1.24559        0.174114     0.000875329
1.26865       0.0859998     0.000612774
1.29172       0.0484123     0.000460696
1.31479       0.0413988     0.000362577
1.33785       0.0591683      0.00036806
1.36092        0.102924     0.000459277
1.38399         0.17732     0.000559214
1.40705        0.290757     0.000646628
1.43012        0.439345     0.000608368
1.45319        0.608904     0.000688922
1.47625        0.773592     0.000768699
1.49932        0.894009       0.0011254
1.52238        0.941173      0.00144936
1.54545        0.901862      0.00139111
1.56852        0.784724     0.000823784
1.59158        0.622813     0.000540888
1.61465        0.452576     0.000572515
1.63772        0.308138      0.00060069
1.66078        0.213689     0.000745775
1.68385        0.187344     0.000870796
1.70692         0.24887      0.00101435
1.72998        0.423044      0.00128188
1.75305        0.729823      0.00119972
1.77612         1.16651      0.00116374
1.79918         1.68636     0.000681464
1.82225         2.17891      0.00108755
1.84531         2.53523      0.00183032
1.86838         2.64809      0.00222329
1.89145         2.49515      0.00242748
1.91451         2.12932      0.00174173
1.93758         1.65115     0.000939061
1.96065         1.17265     0.000783106
1.98371        0.783083      0.00102763
2.00678        0.529458      0.00122495
2.02985        0.424474      0.00130624
2.05291        0.451556      0.00110231
2.07598        0.574256     0.000783591
2.09905        0.742009     0.000575877
2.12211        0.899118     0.000553017
2.14518        0.992799     0.000899027
2.16824         1.00073     0.000977714
2.19131        0.901224      0.00070144
2.21438        0.765626     0.000594866
2.23744        0.640054     0.000631456
2.26051        0.559757      0.00100504
2.28358        0.561879      0.00123246
