# DISTANCE:     AVE_GOFR:        ERROR:
0               0               0
0.0230664               0               0
0.0461329               0               0
0.0691993               0               0
0.0922657               0               0
0.115332               0               0
0.138399               0               0
0.161465               0               0
0.184531               0               0
0.207598               0               0
0.230664               0               0
0.253731               0               0
0.276797               0               0
0.299864               0               0
0.32293               0               0
0.345996               0               0
0.369063               0               0
0.392129               0               0
0.415196               0               0
0.438262               0               0
0.461329               0               0
0.484395               0               0
0.507461               0               0
0.530528               0               0
0.553594               0               0
0.576661               0               0
0.599727               0               0
0.622794               0               0
0.64586               0               0
0.668926               0               0
0.691993               0               0
0.715059               0               0
0.738126               0               0
0.761192               0               0
0.784259               0               0
0.807325               0               0
0.830391               0               0
0.853458               0               0
0.876524     6.11037e-05     3.44201e-05
0.899591      0.00354891     0.000315746
0.922657        0.048509      0.00119712
0.945724        0.293733      0.00206005
0.96879        0.991633      0.00454121
0.991856         2.17391      0.00664699
1.01492         3.48661      0.00874433
1.03799         4.39464      0.00972716
1.06106         4.63879      0.00923073
1.08412         4.27389       0.0108632
1.10719         3.48452       0.0091321
1.13026         2.57487      0.00773159
1.15332         1.74734      0.00697389
1.17639         1.10606      0.00527507
1.19945        0.649653      0.00358907
1.22252        0.352763      0.00310942
1.24559        0.178776      0.00246576
1.26865       0.0855898      0.00165024
1.29172        0.048164      0.00133588
1.31479       0.0408882      0.00122943
1.33785       0.0578688      0.00151367
1.36092        0.103657      0.00196618
1.38399        0.179948      0.00210674
1.40705        0.291842      0.00285955
1.43012        0.445101      0.00296025
1.45319        0.615193      0.00334064
1.47625         0.77003      0.00391786
1.49932        0.887767       0.0045506
1.52238        0.934217      0.00492295
1.54545        0.897659      0.00453311
1.56852         0.78369      0.00333653
1.59158         0.62542      0.00255702
1.61465        0.455028      0.00234132
1.63772         0.30916       0.0024686
1.66078        0.218251      0.00233369
1.68385        0.190829      0.00258612
1.70692        0.255999      0.00284397
1.72998        0.434054      0.00354712
1.75305        0.741568       0.0041486
1.77612          1.1806      0.00391833
1.79918         1.69627      0.00398457
1.82225         2.17114      0.00510278
1.84531         2.50375      0.00701901
1.86838         2.62031      0.00742402
1.89145         2.46881      0.00670173
1.91451          2.1155       0.0052061
1.93758         1.65691      0.00390179
1.96065         1.18147      0.00367626
1.98371        0.798864      0.00398684
2.00678        0.544618      0.00380333
2.02985        0.432007      0.00279095
2.05291        0.456927      0.00273218
2.07598        0.579404      0.00266557
2.09905        0.745419      0.00219786
2.12211         0.89036      0.00262704
2.14518        0.980395      0.00323534
2.16824        0.981215      0.00291554
2.19131        0.901863      0.00309467
2.21438        0.771883       0.0023051
2.23744        0.644549      0.00246856
2.26051        0.567773      0.00357542
2.28358        0.573071       0.0035572
