#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20014     1.20014           0
           2     1.20055     1.20035 0.000147032
           3     1.20118     1.20062 0.000246713
           4      1.2058     1.20192  0.00113644
           5     1.20425     1.20238  0.00100001
           6     1.19145     1.20056  0.00186111
           7      1.2021     1.20078  0.00160816
           8     1.20129     1.20085  0.00140842
           9     1.21072     1.20194  0.00162391
          10     1.17643     1.19939  0.00282768
          11     1.21357     1.20068  0.00284945
          12     1.21344     1.20174   0.0028033
          13     1.18757     1.20065  0.00279167
          14     1.20665     1.20108  0.00262495
          15      1.1985     1.20091   0.0024556
          16     1.18836     1.20013  0.00242411
          17     1.20998     1.20071  0.00234986
          18      1.1967     1.20048  0.00222981
          19     1.19257     1.20007  0.00215094
          20     1.19878         1.2  0.00204436
          21      1.1976     1.19989   0.0019502
          22     1.20635     1.20018  0.00188352
          23     1.20939     1.20058  0.00184368
          24     1.19761     1.20046  0.00177101
          25     1.20181     1.20051    0.001701
          26     1.19492      1.2003  0.00164911
          27     1.20229     1.20037  0.00158968
          28     1.20153     1.20041  0.00153344
          29     1.20133     1.20044  0.00148089
          30     1.19578     1.20029  0.00143966
          31     1.19782     1.20021  0.00139542
          32     1.20344     1.20031  0.00135547
          33     1.19938     1.20028  0.00131469
          34     1.20156     1.20032  0.00127656
          35     1.20391     1.20042  0.00124421
          36     1.20075     1.20043  0.00120968
          37     1.20677      1.2006  0.00118905
          38     1.19341     1.20041  0.00117273
          39     1.20468     1.20052  0.00114775
          40     1.20152     1.20055  0.00111932
          41      1.1914     1.20032  0.00111404
          42     1.20262     1.20038  0.00108886
          43      1.2001     1.20037  0.00106356
          44     1.20089     1.20038  0.00103945
          45     1.20402     1.20047  0.00101949
          46     1.19867     1.20043  0.00099807
          47     1.20188     1.20046 0.000977315
          48     1.19289      1.2003 0.000969577
          49     1.20798     1.20046 0.000962369
          50     1.20009     1.20045 0.000943149
          51      1.2011     1.20046 0.000924741
          52     1.19826     1.20042 0.000907923
          53     1.20295     1.20047 0.000892042
          54     1.20677     1.20058 0.000883116
          55     1.19587      1.2005   0.0008712
          56      1.2049     1.20058 0.000859178
          57     1.19938     1.20056 0.000844361
          58     1.19728      1.2005 0.000831691
          59     1.20398     1.20056 0.000819685
          60      1.1952     1.20047 0.000810873
          61     1.19325     1.20035 0.000806173
          62     1.20939      1.2005 0.000806244
          63     1.19327     1.20038 0.000801554
          64     1.21449      1.2006  0.00081877
          65     1.19289     1.20048 0.000814732
          66     1.21001     1.20063 0.000815061
          67     1.20178     1.20064 0.000803078
          68     1.20163     1.20066 0.000791399
          69     1.19594     1.20059 0.000782881
          70     1.20316     1.20063 0.000772557
          71     1.19219     1.20051 0.000770769
          72      1.1954     1.20044 0.000763322
          73     1.20809     1.20054 0.000760037
          74     1.19531     1.20047 0.000753045
          75     1.20363     1.20051 0.000744178
          76     1.19972      1.2005 0.000734459
          77     1.19356     1.20041 0.000730429
          78     1.19388     1.20033 0.000725854
          79     1.20477     1.20039 0.000718837
          80     1.19063     1.20026 0.000720119
