#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.53791    -7.53791           0
           2    -7.55225    -7.54508  0.00506669
           3    -7.54397    -7.54471  0.00339115
           4     -7.5511    -7.54631  0.00289551
           5    -7.55729    -7.54851  0.00303687
           6    -7.56134    -7.55064  0.00319618
           7    -7.54063    -7.54921  0.00304301
           8    -7.53816    -7.54783  0.00295972
           9    -7.54279    -7.54727  0.00268341
          10    -7.54598    -7.54714  0.00241818
          11     -7.5562    -7.54797   0.0023345
          12     -7.5329    -7.54671  0.00245429
          13    -7.53488     -7.5458  0.00242831
          14    -7.54375    -7.54565  0.00225926
          15    -7.55127    -7.54603   0.0021394
          16    -7.54965    -7.54625  0.00201762
          17    -7.54462    -7.54616  0.00190121
          18    -7.52831    -7.54517  0.00203785
          19    -7.56305    -7.54611  0.00213703
          20    -7.55394     -7.5465  0.00206572
          21     -7.5474    -7.54654   0.0019678
          22    -7.54934    -7.54667  0.00188245
          23    -7.54249    -7.54649  0.00180933
          24    -7.53911    -7.54618   0.0017599
          25    -7.53783    -7.54585  0.00172089
          26    -7.53634    -7.54548   0.0016931
          27    -7.55183    -7.54572  0.00164667
          28    -7.55532    -7.54606   0.0016232
          29    -7.52952    -7.54549  0.00166436
          30    -7.55428    -7.54578  0.00163446
          31    -7.55973    -7.54623  0.00164254
          32    -7.54789    -7.54628  0.00159202
          33     -7.5531    -7.54649  0.00155711
          34    -7.52514    -7.54586  0.00163299
          35    -7.53232    -7.54548  0.00163152
          36    -7.54324    -7.54541  0.00158738
          37    -7.54862     -7.5455  0.00154685
          38    -7.55285    -7.54569   0.0015182
          39    -7.55367     -7.5459  0.00149299
          40    -7.54915    -7.54598  0.00145789
          41    -7.54104    -7.54586   0.0014273
          42    -7.54285    -7.54579  0.00139512
          43    -7.54545    -7.54578  0.00136269
          44    -7.55247    -7.54593  0.00134018
          45    -7.55398    -7.54611  0.00132226
          46     -7.5376    -7.54593  0.00130641
          47    -7.55176    -7.54605   0.0012845
          48    -7.54786    -7.54609   0.0012583
          49    -7.53289    -7.54582   0.0012611
          50    -7.55188    -7.54594  0.00124169
