#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.5249     -7.5249           0
           2    -7.52683    -7.52587 0.000682382
           3    -7.52622    -7.52599 0.000464875
           4    -7.53068    -7.52716  0.00107498
           5    -7.52785     -7.5273 0.000868762
           6    -7.51561    -7.52535  0.00191998
           7    -7.52628    -7.52548  0.00165032
           8    -7.52485    -7.52541  0.00144591
           9    -7.53563    -7.52654  0.00167288
          10    -7.50174    -7.52406  0.00279309
          11    -7.53972    -7.52548    0.002879
          12    -7.53823    -7.52655  0.00282816
          13    -7.51081    -7.52534  0.00285794
          14    -7.53115    -7.52575  0.00268377
          15    -7.52289    -7.52556  0.00251163
          16    -7.51255    -7.52475  0.00248286
          17    -7.53523    -7.52536  0.00241217
          18    -7.52078    -7.52511  0.00229154
          19    -7.51737     -7.5247  0.00220686
          20    -7.52352    -7.52464   0.0020973
          21    -7.52071    -7.52446  0.00200576
          22    -7.53027    -7.52472  0.00193191
          23    -7.53317    -7.52509  0.00188256
          24    -7.52284    -7.52499  0.00180645
          25    -7.52674    -7.52506  0.00173555
          26    -7.51828     -7.5248  0.00168829
          27    -7.52579    -7.52484  0.00162615
          28    -7.52658     -7.5249  0.00156927
          29    -7.52553    -7.52492  0.00151531
          30    -7.52042    -7.52477   0.0014722
          31    -7.52184    -7.52468  0.00142775
          32    -7.52738    -7.52476  0.00138563
          33    -7.52322    -7.52472  0.00134443
          34    -7.52742     -7.5248  0.00130725
          35    -7.52924    -7.52492  0.00127605
          36    -7.52559    -7.52494  0.00124073
          37    -7.53109    -7.52511  0.00121828
          38    -7.51741     -7.5249  0.00120293
          39    -7.52946    -7.52502  0.00117775
          40    -7.52599    -7.52505  0.00114856
          41    -7.51638    -7.52483  0.00113984
          42    -7.52593    -7.52486  0.00111299
          43     -7.5242    -7.52485  0.00108722
          44    -7.52441    -7.52484  0.00106255
          45    -7.52905    -7.52493  0.00104306
          46    -7.52364     -7.5249  0.00102076
          47    -7.52577    -7.52492 0.000999209
          48    -7.51625    -7.52474 0.000994577
          49    -7.53284     -7.5249 0.000987939
          50    -7.52492     -7.5249  0.00096818
          51     -7.5261    -7.52493  0.00094948
          52    -7.52141    -7.52486 0.000933624
          53    -7.52708     -7.5249 0.000916943
          54    -7.53247    -7.52504 0.000910608
          55    -7.52108    -7.52497 0.000896903
          56    -7.53076    -7.52507 0.000886824
          57    -7.52414    -7.52506 0.000871418
          58    -7.52053    -7.52498 0.000859881
          59    -7.52909    -7.52505 0.000848129
          60    -7.51951    -7.52496 0.000839001
          61    -7.51847    -7.52485 0.000831963
          62    -7.53352    -7.52499 0.000830217
          63    -7.51921     -7.5249 0.000822091
          64    -7.53928    -7.52512 0.000839375
          65    -7.51633    -7.52499 0.000837304
          66    -7.53526    -7.52514 0.000838964
          67    -7.52685    -7.52517 0.000826829
          68    -7.52624    -7.52518 0.000814819
          69    -7.51922     -7.5251 0.000807588
          70    -7.52745    -7.52513 0.000796747
          71    -7.51755    -7.52502 0.000792658
          72    -7.51925    -7.52494 0.000785691
          73     -7.5315    -7.52503 0.000780042
          74    -7.51961    -7.52496 0.000772944
          75    -7.52807      -7.525 0.000763751
          76    -7.52281    -7.52497 0.000754247
          77    -7.51879    -7.52489 0.000748711
          78     -7.5185    -7.52481 0.000743589
          79    -7.52946    -7.52487 0.000736504
          80    -7.51632    -7.52476 0.000735019
