#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.53722     9.53722           0
           2     9.45552     9.49637   0.0288844
           3     9.50248     9.49841    0.019328
           4     9.46308     9.48958   0.0163905
           5     9.42889     9.47744   0.0170224
           6     9.40513     9.46539   0.0179519
           7     9.51753     9.47284   0.0168621
           8     9.53419     9.48051    0.016406
           9     9.50861     9.48363   0.0148773
          10     9.49094     9.48436   0.0134075
          11     9.43085     9.47949   0.0130413
          12     9.55914     9.48613   0.0135386
          13     9.54964     9.49102   0.0133495
          14     9.49955     9.49163   0.0124099
          15     9.46309     9.48972   0.0117275
          16     9.46921     9.48844   0.0110644
          17     9.49892     9.48906   0.0104307
          18     9.58525      9.4944   0.0111364
          19     9.39381     9.48911   0.0117414
          20     9.44446     9.48688   0.0113646
          21      9.4801     9.48655    0.010828
          22     9.47233     9.48591   0.0103551
          23     9.50648      9.4868  0.00994346
          24     9.52937     9.48858  0.00968609
          25     9.53499     9.49043  0.00947489
          26     9.54527     9.49254  0.00934231
          27     9.46018     9.49134  0.00907284
          28     9.43974      9.4895  0.00893405
          29      9.5784     9.49256  0.00913674
          30     9.44288     9.49091  0.00898101
          31     9.41284     9.48839  0.00903747
          32     9.47906      9.4881  0.00875975
          33     9.44986     9.48694  0.00857061
          34     9.60735     9.49048  0.00902063
          35     9.56573     9.49263  0.00901545
          36     9.50587       9.493  0.00877252
          37      9.4755     9.49253  0.00854817
          38     9.44881     9.49138  0.00840028
          39     9.44681     9.49023  0.00826225
          40     9.47117     9.48976  0.00806943
          41      9.5154     9.49038  0.00789682
          42     9.50847     9.49081  0.00772053
          43     9.48968     9.49079  0.00754103
          44     9.45449     9.48996  0.00741462
          45     9.44483     9.48896  0.00731737
          46     9.53609     9.48998  0.00722968
          47     9.45724     9.48929  0.00710934
          48     9.47779     9.48905  0.00696526
          49     9.56195     9.49054   0.0069802
          50     9.45435     9.48981  0.00687801
