#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.61534     9.61534           0
           2     9.60624     9.61079  0.00321402
           3     9.61304     9.61154  0.00222811
           4     9.58213     9.60419  0.00658297
           5     9.60274      9.6039  0.00527273
           6     9.63548     9.60916  0.00651078
           7     9.57038     9.60362  0.00757955
           8     9.60432     9.60371  0.00663261
           9     9.55082     9.59783  0.00809055
          10      9.7137     9.60942   0.0131856
          11     9.55214     9.60421   0.0129745
          12        9.54     9.59886   0.0129499
          13     9.65656      9.6033   0.0126917
          14     9.58387     9.60191   0.0118607
          15     9.62485     9.60344   0.0111681
          16     9.67237     9.60775   0.0112706
          17     9.54581      9.6041    0.011181
          18     9.60828     9.60434   0.0105622
          19     9.63127     9.60575    0.010101
          20      9.6169     9.60631   0.0096113
          21     9.61691     9.60682  0.00916685
          22     9.57095     9.60519  0.00889395
          23     9.56875      9.6036   0.0086472
          24     9.62017     9.60429   0.0083144
          25     9.60596     9.60436  0.00798209
          26     9.63715     9.60562  0.00777407
          27     9.59037     9.60506  0.00750662
          28     9.59841     9.60482  0.00724228
          29     9.58045     9.60398  0.00704113
          30     9.61368      9.6043  0.00681384
          31     9.62535     9.60498  0.00662778
          32     9.58299     9.60429  0.00645619
          33     9.61721     9.60468  0.00627241
          34     9.61683     9.60504   0.0060981
          35     9.59433     9.60474  0.00593154
          36     9.60915     9.60486  0.00576804
          37     9.61043     9.60501  0.00561412
          38     9.65422      9.6063  0.00561376
          39     9.60368     9.60624  0.00547022
          40     9.62317     9.60666  0.00534982
          41     9.64848     9.60768  0.00531571
          42     9.58291     9.60709  0.00522175
          43     9.61661     9.60731  0.00510501
          44     9.60866     9.60734  0.00498908
          45     9.57192     9.60655  0.00493991
          46     9.60197     9.60646  0.00483353
          47     9.58871     9.60608   0.0047454
          48     9.63509     9.60668  0.00468487
          49     9.56706     9.60587   0.0046585
          50     9.62326     9.60622  0.00457829
          51     9.58968      9.6059      0.0045
          52     9.61703     9.60611  0.00441855
          53     9.61288     9.60624  0.00433703
          54     9.59962     9.60612  0.00425844
          55     9.63048     9.60656    0.004204
          56     9.58968     9.60626  0.00413972
          57     9.62113     9.60652  0.00407531
          58     9.64153     9.60712  0.00404951
          59     9.58851     9.60681  0.00399314
          60     9.64533     9.60745  0.00397786
          61     9.67528     9.60856  0.00406512
          62     9.56686     9.60789  0.00405482
          63     9.63798     9.60837  0.00401849
          64     9.56118     9.60763  0.00402278
          65     9.66257     9.60847  0.00404871
          66     9.58154     9.60807  0.00400788
          67     9.59442     9.60786  0.00395323
          68      9.6253     9.60812   0.0039034
          69     9.60667      9.6081  0.00384688
          70     9.58165     9.60772  0.00381044
          71     9.63901     9.60816  0.00378217
          72     9.63952      9.6086  0.00375464
          73     9.56192     9.60796  0.00375725
          74     9.61922     9.60811  0.00370956
          75     9.56428     9.60752  0.00370585
          76     9.61866     9.60767  0.00365998
          77     9.63045     9.60797  0.00362438
          78     9.62612      9.6082  0.00358538
          79     9.57453     9.60777  0.00356523
          80     9.65622     9.60838  0.00357173
