#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.800093    0.800093           0
           2     0.80037    0.800231 9.80211e-05
           3    0.800786    0.800416 0.000164475
           4    0.803869    0.801279  0.00075763
           5    0.802831     0.80159  0.00066667
           6    0.794298    0.800374  0.00124074
           7      0.8014    0.800521  0.00107211
           8    0.800863    0.800564 0.000938945
           9    0.807146    0.801295   0.0010826
          10    0.784284    0.799594  0.00188512
          11    0.809049    0.800454  0.00189963
          12    0.808958    0.801162  0.00186887
          13    0.791713    0.800435  0.00186111
          14    0.804435    0.800721  0.00174997
          15    0.798999    0.800606  0.00163706
          16    0.792241    0.800083  0.00161607
          17    0.806656     0.80047  0.00156657
          18    0.797801    0.800322  0.00148654
          19     0.79505    0.800044  0.00143396
          20    0.799186    0.800001  0.00136291
          21    0.798403    0.799925  0.00130013
          22    0.804231    0.800121  0.00125568
          23     0.80626    0.800388  0.00122912
          24    0.798407    0.800305  0.00118067
          25     0.80121    0.800342    0.001134
          26    0.796616    0.800198   0.0010994
          27    0.801525    0.800247  0.00105978
          28    0.801022    0.800275   0.0010223
          29    0.800888    0.800296 0.000987263
          30    0.797188    0.800193 0.000959776
          31    0.798548     0.80014 0.000930281
          32    0.802297    0.800207 0.000903648
          33    0.799586    0.800188 0.000876461
          34    0.801038    0.800213 0.000851039
          35    0.802609    0.800282 0.000829473
          36    0.800499    0.800288 0.000806454
          37    0.804512    0.800402 0.000792698
          38    0.795605    0.800276 0.000781823
          39    0.803118    0.800348 0.000765165
          40    0.801012    0.800365 0.000746216
          41    0.794266    0.800216 0.000742696
          42    0.801749    0.800253 0.000725909
          43    0.800068    0.800249  0.00070904
          44     0.80059    0.800256 0.000692968
          45    0.802679     0.80031 0.000679658
          46    0.799114    0.800284  0.00066538
          47    0.801255    0.800305 0.000651543
          48    0.795262      0.8002 0.000646385
          49    0.805318    0.800304 0.000641579
          50    0.800062    0.800299 0.000628766
          51     0.80073    0.800308 0.000616494
          52    0.798842     0.80028 0.000605282
          53    0.801964    0.800311 0.000594695
          54     0.80451    0.800389 0.000588744
          55     0.79725    0.800332   0.0005808
          56    0.803265    0.800384 0.000572785
          57    0.799587     0.80037 0.000562907
          58    0.798186    0.800333  0.00055446
          59    0.802654    0.800372 0.000546457
          60      0.7968    0.800313 0.000540582
          61    0.795499    0.800234 0.000537449
          62    0.806259    0.800331 0.000537496
          63    0.795516    0.800254 0.000534369
          64    0.809658    0.800401 0.000545847
          65    0.795258    0.800322 0.000543155
          66     0.80667    0.800418 0.000543374
          67    0.801187     0.80043 0.000535385
          68    0.801087     0.80044 0.000527599
          69    0.797292    0.800394 0.000521921
          70    0.802107    0.800418 0.000515038
          71    0.794791    0.800339 0.000513846
          72    0.796933    0.800292 0.000508881
          73    0.805396    0.800362 0.000506691
          74    0.796875    0.800315  0.00050203
          75    0.802418    0.800343 0.000496119
          76    0.799814    0.800336  0.00048964
          77     0.79571    0.800276 0.000486952
          78    0.795919     0.80022 0.000483903
          79    0.803178    0.800257 0.000479224
          80    0.793754    0.800176  0.00048008
