#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.33791    -6.33791           0
           2    -6.35225    -6.34508  0.00506669
           3    -6.34397    -6.34471  0.00339115
           4     -6.3511    -6.34631  0.00289551
           5    -6.35729    -6.34851  0.00303687
           6    -6.36134    -6.35064  0.00319618
           7    -6.34063    -6.34921  0.00304301
           8    -6.33816    -6.34783  0.00295972
           9    -6.34279    -6.34727  0.00268341
          10    -6.34598    -6.34714  0.00241818
          11     -6.3562    -6.34797   0.0023345
          12     -6.3329    -6.34671  0.00245429
          13    -6.33488     -6.3458  0.00242831
          14    -6.34375    -6.34565  0.00225926
          15    -6.35127    -6.34603   0.0021394
          16    -6.34965    -6.34625  0.00201762
          17    -6.34462    -6.34616  0.00190121
          18    -6.32831    -6.34517  0.00203785
          19    -6.36305    -6.34611  0.00213703
          20    -6.35394     -6.3465  0.00206572
          21     -6.3474    -6.34654   0.0019678
          22    -6.34934    -6.34667  0.00188245
          23    -6.34249    -6.34649  0.00180933
          24    -6.33911    -6.34618   0.0017599
          25    -6.33783    -6.34585  0.00172089
          26    -6.33634    -6.34548   0.0016931
          27    -6.35183    -6.34572  0.00164667
          28    -6.35532    -6.34606   0.0016232
          29    -6.32952    -6.34549  0.00166436
          30    -6.35428    -6.34578  0.00163446
          31    -6.35973    -6.34623  0.00164254
          32    -6.34789    -6.34628  0.00159202
          33     -6.3531    -6.34649  0.00155711
          34    -6.32514    -6.34586  0.00163299
          35    -6.33232    -6.34548  0.00163152
          36    -6.34324    -6.34541  0.00158738
          37    -6.34862     -6.3455  0.00154685
          38    -6.35285    -6.34569   0.0015182
          39    -6.35367     -6.3459  0.00149299
          40    -6.34915    -6.34598  0.00145789
          41    -6.34104    -6.34586   0.0014273
          42    -6.34285    -6.34579  0.00139512
          43    -6.34545    -6.34578  0.00136269
          44    -6.35247    -6.34593  0.00134018
          45    -6.35398    -6.34611  0.00132226
          46     -6.3376    -6.34593  0.00130641
          47    -6.35176    -6.34605   0.0012845
          48    -6.34786    -6.34609   0.0012583
          49    -6.33289    -6.34582   0.0012611
          50    -6.35188    -6.34594  0.00124169
