#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.32477    -6.32477           0
           2    -6.32628    -6.32552  0.00053535
           3    -6.32504    -6.32536 0.000380087
           4    -6.32488    -6.32524 0.000303584
           5     -6.3236    -6.32491 0.000380796
           6    -6.32416    -6.32479 0.000337234
           7    -6.32418     -6.3247 0.000299922
           8    -6.32356    -6.32456 0.000294471
           9    -6.32491     -6.3246 0.000264288
          10    -6.32532    -6.32467 0.000247423
          11    -6.32614     -6.3248 0.000258591
          12    -6.32479     -6.3248 0.000237044
          13    -6.32324    -6.32468 0.000247381
          14    -6.32449    -6.32467 0.000230078
          15    -6.32439    -6.32465 0.000215488
          16    -6.32418    -6.32462 0.000203984
          17    -6.32525    -6.32466 0.000195263
          18    -6.32408    -6.32463 0.000187019
          19    -6.32479    -6.32464  0.00017738
          20    -6.32474    -6.32464 0.000168595
          21    -6.32311    -6.32457 0.000175659
          22    -6.32392    -6.32454 0.000170121
          23    -6.32378    -6.32451 0.000165846
          24    -6.32523    -6.32454 0.000161656
          25    -6.32493    -6.32455 0.000155957
          26    -6.32336    -6.32451 0.000156579
          27     -6.3235    -6.32447 0.000155159
          28    -6.32505    -6.32449 0.000151009
          29     -6.3242    -6.32448  0.00014613
          30    -6.32464    -6.32448 0.000141362
          31    -6.32402    -6.32447 0.000137596
          32    -6.32394    -6.32445 0.000134295
          33    -6.32384    -6.32443 0.000131519
          34    -6.32587    -6.32448 0.000134235
          35    -6.32532     -6.3245 0.000132572
          36    -6.32484    -6.32451 0.000129219
          37    -6.32432     -6.3245 0.000125826
          38      -6.324    -6.32449 0.000123201
          39    -6.32479     -6.3245 0.000120274
          40    -6.32447     -6.3245 0.000117269
          41    -6.32498    -6.32451 0.000114994
          42    -6.32331    -6.32448 0.000115779
          43     -6.3241    -6.32447 0.000113427
          44    -6.32353    -6.32445 0.000112874
          45    -6.32503    -6.32446 0.000111102
          46    -6.32497    -6.32448 0.000109237
          47    -6.32389    -6.32446 0.000107625
          48    -6.32336    -6.32444 0.000107811
          49    -6.32487    -6.32445 0.000105962
          50    -6.32483    -6.32446 0.000104115
          51    -6.32501    -6.32447 0.000102631
          52    -6.32315    -6.32444 0.000103733
          53    -6.32413    -6.32444 0.000101941
          54     -6.3257    -6.32446 0.000102725
          55     -6.3252    -6.32447 0.000101741
          56    -6.32586     -6.3245 0.000102906
          57    -6.32476     -6.3245 0.000101202
          58    -6.32325    -6.32448 0.000101725
          59    -6.32511    -6.32449 0.000100564
          60    -6.32431    -6.32449 9.89331e-05
          61    -6.32522     -6.3245 9.80351e-05
          62    -6.32413    -6.32449 9.66331e-05
          63    -6.32594    -6.32452 9.77743e-05
          64    -6.32479    -6.32452 9.63383e-05
          65    -6.32344     -6.3245 9.62857e-05
          66    -6.32526    -6.32452 9.54995e-05
          67    -6.32507    -6.32452  9.4431e-05
          68     -6.3246    -6.32453 9.30497e-05
          69    -6.32328    -6.32451 9.34416e-05
          70    -6.32429     -6.3245 9.21606e-05
          71    -6.32536    -6.32452 9.16439e-05
          72    -6.32385    -6.32451 9.08316e-05
          73    -6.32341    -6.32449 9.08315e-05
          74    -6.32429    -6.32449 8.96442e-05
          75    -6.32445    -6.32449 8.84509e-05
          76    -6.32309    -6.32447 8.91897e-05
          77    -6.32523    -6.32448 8.85737e-05
          78    -6.32462    -6.32448 8.74562e-05
          79     -6.3247    -6.32448 8.63913e-05
          80    -6.32569     -6.3245 8.66064e-05
